RENGLON,AÑO,ENTIDAD,CVE_GEO,EDAD,DEFUNCION,POBLACION,PROP
33222,2020,Aguascalientes,1,0,121.5,12299.5,0.00987845
33224,2020,Aguascalientes,1,1,8.5,12320,0.000689935
33226,2020,Aguascalientes,1,2,5,12464.5,0.000401139
33228,2020,Aguascalientes,1,3,3,12460,0.00024077
33230,2020,Aguascalientes,1,4,3,12796,0.000234448
33232,2020,Aguascalientes,1,5,2.5,12908,0.000193678
33234,2020,Aguascalientes,1,6,2.5,12977,0.000192649
33236,2020,Aguascalientes,1,7,2.5,13040,0.000191718
33238,2020,Aguascalientes,1,8,2.5,13094.5,0.00019092
33240,2020,Aguascalientes,1,9,3,13152.5,0.000228094
33242,2020,Aguascalientes,1,10,3,13216,0.000226998
33244,2020,Aguascalientes,1,11,3,13285,0.000225819
33246,2020,Aguascalientes,1,12,4.5,13338.5,0.000337369
33248,2020,Aguascalientes,1,13,5,13393.5,0.000373315
33250,2020,Aguascalientes,1,14,6,13447,0.000446196
33252,2020,Aguascalientes,1,15,6.5,13473,0.000482446
33254,2020,Aguascalientes,1,16,8,13440,0.000595238
33256,2020,Aguascalientes,1,17,10,13385.5,0.000747077
33258,2020,Aguascalientes,1,18,11,13327.5,0.000825361
33260,2020,Aguascalientes,1,19,12,13249,0.000905729
33262,2020,Aguascalientes,1,20,13,13162.5,0.000987654
33264,2020,Aguascalientes,1,21,14,13077.5,0.001070541
33266,2020,Aguascalientes,1,22,15.5,12999,0.001192399
33268,2020,Aguascalientes,1,23,16.5,12927,0.001276398
33270,2020,Aguascalientes,1,24,17,12862.5,0.001321672
33272,2020,Aguascalientes,1,25,17.5,12774.5,0.001369917
33274,2020,Aguascalientes,1,26,18.5,12626,0.00146523
33276,2020,Aguascalientes,1,27,18.5,12443.5,0.00148672
33278,2020,Aguascalientes,1,28,18.5,12215,0.001514531
33280,2020,Aguascalientes,1,29,19,11935,0.001591956
33282,2020,Aguascalientes,1,30,19,11645,0.001631602
33284,2020,Aguascalientes,1,31,19,11373,0.001670623
33286,2020,Aguascalientes,1,32,19,11090,0.001713255
33288,2020,Aguascalientes,1,33,19,10811,0.001757469
33290,2020,Aguascalientes,1,34,19,10543,0.001802144
33292,2020,Aguascalientes,1,35,19.5,10281.5,0.00189661
33294,2020,Aguascalientes,1,36,19.5,10026,0.001944943
33296,2020,Aguascalientes,1,37,20,9786,0.002043736
33298,2020,Aguascalientes,1,38,20.5,9567.5,0.00214267
33300,2020,Aguascalientes,1,39,21,9373.5,0.002240358
33302,2020,Aguascalientes,1,40,22,9212.5,0.00238806
33304,2020,Aguascalientes,1,41,23,9075,0.002534435
33306,2020,Aguascalientes,1,42,24,8965.5,0.002676928
33308,2020,Aguascalientes,1,43,25.5,8877,0.002872592
33310,2020,Aguascalientes,1,44,27,8805.5,0.003066265
33312,2020,Aguascalientes,1,45,29,8685,0.00333909
33314,2020,Aguascalientes,1,46,31,8534.5,0.003632316
33316,2020,Aguascalientes,1,47,32.5,8349.5,0.003892449
33318,2020,Aguascalientes,1,48,34.5,8131.5,0.00424276
33320,2020,Aguascalientes,1,49,36,7893,0.004561003
33322,2020,Aguascalientes,1,50,38,7646,0.004969919
33324,2020,Aguascalientes,1,51,40,7390.5,0.005412354
33326,2020,Aguascalientes,1,52,42,7135,0.005886475
33328,2020,Aguascalientes,1,53,44,6887,0.006388849
33330,2020,Aguascalientes,1,54,46,6646,0.006921457
33332,2020,Aguascalientes,1,55,48.5,6408.5,0.007568074
33334,2020,Aguascalientes,1,56,51,6171.5,0.008263793
33336,2020,Aguascalientes,1,57,53,5935,0.008930076
33338,2020,Aguascalientes,1,58,55,5693.5,0.009660139
33340,2020,Aguascalientes,1,59,57.5,5441.5,0.010566939
33342,2020,Aguascalientes,1,60,59.5,5180,0.011486486
33344,2020,Aguascalientes,1,61,61.5,4910.5,0.012524183
33346,2020,Aguascalientes,1,62,63.5,4638.5,0.01368977
33348,2020,Aguascalientes,1,63,65,4364,0.014894592
33350,2020,Aguascalientes,1,64,67,4094,0.016365413
33352,2020,Aguascalientes,1,65,67.5,3835.5,0.017598749
33354,2020,Aguascalientes,1,66,69,3578.5,0.019281822
33356,2020,Aguascalientes,1,67,70,3335,0.020989505
33358,2020,Aguascalientes,1,68,70.5,3094.5,0.022782356
33360,2020,Aguascalientes,1,69,71,2864,0.024790503
33362,2020,Aguascalientes,1,70,72,2686,0.026805659
33364,2020,Aguascalientes,1,71,73,2494.5,0.029264382
33366,2020,Aguascalientes,1,72,73,2312.5,0.031567568
33368,2020,Aguascalientes,1,73,74,2141.5,0.034555218
33370,2020,Aguascalientes,1,74,74,1978.5,0.037402072
33372,2020,Aguascalientes,1,75,74,1826.5,0.040514645
33374,2020,Aguascalientes,1,76,74,1679.5,0.044060732
33376,2020,Aguascalientes,1,77,74,1540.5,0.048036352
33378,2020,Aguascalientes,1,78,73.5,1413,0.052016985
33380,2020,Aguascalientes,1,79,73,1287,0.056721057
33382,2020,Aguascalientes,1,80,71.5,1164,0.061426117
33384,2020,Aguascalientes,1,81,70,1049,0.066730219
33386,2020,Aguascalientes,1,82,68,942,0.072186837
33388,2020,Aguascalientes,1,83,66.5,843,0.078884935
33390,2020,Aguascalientes,1,84,64,749.5,0.08539026
33392,2020,Aguascalientes,1,85,61,660,0.092424242
33394,2020,Aguascalientes,1,86,58.5,580,0.100862069
33396,2020,Aguascalientes,1,87,55.5,507.5,0.109359606
33398,2020,Aguascalientes,1,88,53,440.5,0.120317821
33400,2020,Aguascalientes,1,89,49,377.5,0.129801325
33402,2020,Aguascalientes,1,90,45.5,317.5,0.143307087
33404,2020,Aguascalientes,1,91,41,262.5,0.156190476
33406,2020,Aguascalientes,1,92,37,216,0.171296296
33408,2020,Aguascalientes,1,93,32.5,174.5,0.186246418
33410,2020,Aguascalientes,1,94,28.5,140.5,0.202846975
33412,2020,Aguascalientes,1,95,25,110.5,0.226244344
33414,2020,Aguascalientes,1,96,21,85,0.247058824
33416,2020,Aguascalientes,1,97,17.5,64.5,0.271317829
33418,2020,Aguascalientes,1,98,14,47,0.29787234
33420,2020,Aguascalientes,1,99,11,34,0.323529412
33422,2020,Aguascalientes,1,100,9,23.5,0.382978723
33424,2020,Aguascalientes,1,101,6,16,0.375
33426,2020,Aguascalientes,1,102,5,10,0.5
33428,2020,Aguascalientes,1,103,3,6.5,0.461538462
33430,2020,Aguascalientes,1,104,2,4,0.5
33432,2020,Aguascalientes,1,105,1.5,2,0.75
33434,2020,Aguascalientes,1,106,0,1,0
33436,2020,Aguascalientes,1,107,0,0.5,0
33438,2020,Aguascalientes,1,108,0,0.5,0
33440,2020,Aguascalientes,1,109,0.5,0,0
51042,2020,Baja California,2,0,276.5,29089,0.009505311
51044,2020,Baja California,2,1,20.5,29432,0.000696521
51046,2020,Baja California,2,2,11,29866.5,0.000368306
51048,2020,Baja California,2,3,7.5,30169.5,0.000248595
51050,2020,Baja California,2,4,6.5,30349.5,0.000214172
51052,2020,Baja California,2,5,6.5,30440,0.000213535
51054,2020,Baja California,2,6,6,30402,0.000197355
51056,2020,Baja California,2,7,6,30356.5,0.000197651
51058,2020,Baja California,2,8,6,30292.5,0.000198069
51060,2020,Baja California,2,9,6.5,30300,0.000214521
51062,2020,Baja California,2,10,6.5,30392.5,0.000213869
51064,2020,Baja California,2,11,8,30518.5,0.000262136
51066,2020,Baja California,2,12,9,30620,0.000293926
51068,2020,Baja California,2,13,11,30738,0.000357863
51070,2020,Baja California,2,14,13,30868.5,0.000421141
51072,2020,Baja California,2,15,16,31015.5,0.000515871
51074,2020,Baja California,2,16,18,31110,0.000578592
51076,2020,Baja California,2,17,22,31190,0.000705354
51078,2020,Baja California,2,18,24.5,31308.5,0.000782535
51080,2020,Baja California,2,19,28,31357,0.000892943
51082,2020,Baja California,2,20,31,31393.5,0.000987466
51084,2020,Baja California,2,21,34,31503.5,0.001079245
51086,2020,Baja California,2,22,36.5,31658.5,0.001152929
51088,2020,Baja California,2,23,40,31864,0.001255335
51090,2020,Baja California,2,24,42,32064.5,0.00130986
51092,2020,Baja California,2,25,44,32147,0.001368712
51094,2020,Baja California,2,26,45.5,32040,0.0014201
51096,2020,Baja California,2,27,47,31838,0.001476223
51098,2020,Baja California,2,28,48,31514.5,0.001523108
51100,2020,Baja California,2,29,48,31064.5,0.001545172
51102,2020,Baja California,2,30,49,30559.5,0.001603429
51104,2020,Baja California,2,31,49.5,30031,0.001648297
51106,2020,Baja California,2,32,49.5,29446,0.001681043
51108,2020,Baja California,2,33,50.5,28832,0.001751526
51110,2020,Baja California,2,34,50.5,28259,0.001787041
51112,2020,Baja California,2,35,52,27708.5,0.00187668
51114,2020,Baja California,2,36,53,27142.5,0.001952657
51116,2020,Baja California,2,37,53.5,26600.5,0.00201124
51118,2020,Baja California,2,38,55.5,26094,0.002126926
51120,2020,Baja California,2,39,58,25655,0.002260768
51122,2020,Baja California,2,40,60,25291.5,0.002372339
51124,2020,Baja California,2,41,63,24992,0.002520807
51126,2020,Baja California,2,42,67,24757.5,0.002706251
51128,2020,Baja California,2,43,71,24576.5,0.002888939
51130,2020,Baja California,2,44,76,24441,0.003109529
51132,2020,Baja California,2,45,81.5,24170.5,0.003371879
51134,2020,Baja California,2,46,86.5,23806,0.003633538
51136,2020,Baja California,2,47,91.5,23333,0.003921485
51138,2020,Baja California,2,48,97.5,22753,0.004285149
51140,2020,Baja California,2,49,103,22098.5,0.00466095
51142,2020,Baja California,2,50,108,21412,0.005043901
51144,2020,Baja California,2,51,113,20687,0.005462368
51146,2020,Baja California,2,52,118.5,19947.5,0.005940594
51148,2020,Baja California,2,53,124.5,19213,0.006479988
51150,2020,Baja California,2,54,129.5,18483.5,0.007006249
51152,2020,Baja California,2,55,136,17755,0.007659814
51154,2020,Baja California,2,56,141.5,17022,0.008312772
51156,2020,Baja California,2,57,147,16285.5,0.009026435
51158,2020,Baja California,2,58,153,15539,0.009846193
51160,2020,Baja California,2,59,158,14780,0.010690122
51162,2020,Baja California,2,60,162.5,14011.5,0.011597616
51164,2020,Baja California,2,61,167,13227,0.01262569
51166,2020,Baja California,2,62,171,12436,0.013750402
51168,2020,Baja California,2,63,174,11654.5,0.014929855
51170,2020,Baja California,2,64,177,10892,0.016250459
51172,2020,Baja California,2,65,179,10150.5,0.017634599
51174,2020,Baja California,2,66,181,9425.5,0.019203225
51176,2020,Baja California,2,67,182,8731,0.020845264
51178,2020,Baja California,2,68,183,8055.5,0.022717398
51180,2020,Baja California,2,69,183,7411,0.024693024
51182,2020,Baja California,2,70,184.5,6912,0.026692708
51184,2020,Baja California,2,71,185.5,6384,0.029057018
51186,2020,Baja California,2,72,185.5,5881,0.031542255
51188,2020,Baja California,2,73,185.5,5414,0.034263022
51190,2020,Baja California,2,74,185.5,4971.5,0.037312682
51192,2020,Baja California,2,75,185,4557,0.040596884
51194,2020,Baja California,2,76,183.5,4163.5,0.044073496
51196,2020,Baja California,2,77,181.5,3798.5,0.047782019
51198,2020,Baja California,2,78,179.5,3465,0.051803752
51200,2020,Baja California,2,79,177,3136,0.056441327
51202,2020,Baja California,2,80,173,2817,0.061412851
51204,2020,Baja California,2,81,169,2519.5,0.067076801
51206,2020,Baja California,2,82,163,2242.5,0.072686734
51208,2020,Baja California,2,83,156.5,1987.5,0.078742138
51210,2020,Baja California,2,84,150,1752,0.085616438
51212,2020,Baja California,2,85,142.5,1534,0.092894394
51214,2020,Baja California,2,86,135,1331,0.101427498
51216,2020,Baja California,2,87,126.5,1145,0.110480349
51218,2020,Baja California,2,88,118,977,0.120777892
51220,2020,Baja California,2,89,108,824.5,0.130988478
51222,2020,Baja California,2,90,98.5,684,0.144005848
51224,2020,Baja California,2,91,88,556,0.158273381
51226,2020,Baja California,2,92,77.5,450.5,0.172031077
51228,2020,Baja California,2,93,68,355.5,0.191279887
51230,2020,Baja California,2,94,58,280.5,0.206773619
51232,2020,Baja California,2,95,49,216.5,0.226327945
51234,2020,Baja California,2,96,41,163.5,0.250764526
51236,2020,Baja California,2,97,33.5,121,0.276859504
51238,2020,Baja California,2,98,27,88,0.306818182
51240,2020,Baja California,2,99,20,60.5,0.330578512
51242,2020,Baja California,2,100,15,41.5,0.361445783
51244,2020,Baja California,2,101,11,27,0.407407407
51246,2020,Baja California,2,102,8,18,0.444444444
51248,2020,Baja California,2,103,5,10.5,0.476190476
51250,2020,Baja California,2,104,3,6,0.5
51252,2020,Baja California,2,105,2,3.5,0.571428571
51254,2020,Baja California,2,106,1,2,0.5
51256,2020,Baja California,2,107,0,1,0
51258,2020,Baja California,2,108,0,1.5,0
51260,2020,Baja California,2,109,0.5,0,0
68862,2020,Baja California Sur,3,0,74,6920.5,0.010692869
68864,2020,Baja California Sur,3,1,5,6965,0.000717875
68866,2020,Baja California Sur,3,2,2.5,6960,0.000359195
68868,2020,Baja California Sur,3,3,2,7008,0.000285388
68870,2020,Baja California Sur,3,4,1.5,7033.5,0.000213265
68872,2020,Baja California Sur,3,5,1.5,6996.5,0.000214393
68874,2020,Baja California Sur,3,6,1.5,6925,0.000216606
68876,2020,Baja California Sur,3,7,1.5,6850.5,0.000218962
68878,2020,Baja California Sur,3,8,1.5,6771,0.000221533
68880,2020,Baja California Sur,3,9,1.5,6714,0.000223414
