RENGLON,AÑO,ENTIDAD,CVE_GEO,T_INC_PAL,T_INC_TUB,T_MOR_DIAR,T_MOR_INFE,T_MOR_VEH,T_MOR_VEH_HOM,T_MOR_VEH_MUJ,T_MOR_CER_UTE,T_MOR_CAN_MAM,T_MOR_CAN_PROS,T_MOR_CAN_TEST,T_MOR_DIA,T_MOR_DIA_HOM,T_MOR_DIA_MUJ,T_MOR_ENF_ISQ,T_MOR_HIP_ART,T_MOR_HOMI,T_MOR_HOMI_HOM,T_MOR_HOMI_MUJ,T_MOR_SUI,T_MOR_TUBER,T_MOR_VIH,T_COB_MEDIA,T_COB_PREE,T_COB_PRI,T_COB_SEC,T_MATR_PREE,T_MATR_PRI,T_MATR_SEC
1,1990,República Mexicana,0,52.88490778,14.54444861,144.3004703,123.1150827,11.79882048,19.99977807,3.785574553,24.90800742,12.86214053,18.4166515,0.297019454,30.57280641,26.80006997,34.16752054,35.16591525,8.08011722,17.14396287,30.91650691,3.564406905,5.493632951,6.453638691,1.773800178,23.26060682,39.6532381,96.84133647,50.21799699,39.6532381,96.84133647,50.21799699
2,1991,República Mexicana,0,30.98004633,14.64044802,134.7400737,111.9786967,11.44056249,19.35270433,3.700859525,23.57433066,13.25527748,19.02159498,0.26239452,31.5957988,28.19521296,34.84541264,35.8104379,7.882331382,17.5489455,31.78270826,3.533905214,5.906762262,5.44497784,2.341725317,23.57789185,40.19038347,96.82488597,49.75745597,40.19038347,96.82488597,49.75745597
3,1992,República Mexicana,0,18.51971961,13.57769178,95.60441754,108.3326629,11.27333583,19.45921062,3.282738284,23.61216284,13.80872851,18.23678869,0.285183066,32.34708974,29.0371372,35.56278596,36.6133826,8.182119785,18.87934806,34.36528617,3.668134041,6.172688287,5.133295195,2.896497891,24.62445795,39.47270672,96.6758897,50.65614556,39.47270672,96.6758897,50.65614556
4,1993,República Mexicana,0,17.77473027,13.92220689,86.67780197,97.28736488,11.19833816,18.93160194,3.650126912,22.98324163,14.16421336,19.38024002,0.283621353,33.20620794,29.22804311,37.06889644,38.07616665,8.773128759,17.94242703,32.75764775,3.442683687,6.360334284,4.782171148,3.531761135,25.27659562,41.82651484,96.45867601,52.57845503,41.82651484,96.45867601,52.57845503
5,1994,República Mexicana,0,14.23596099,14.88556524,67.29427054,102.8209658,10.89877795,18.85513246,3.161409464,22.20699923,14.04453684,20.87444466,0.254529775,33.47509203,29.68465202,37.16194227,39.59044654,9.117699205,17.41315657,31.92411489,3.221590479,6.932026696,4.529523346,3.853359465,26.39707832,44.10476483,96.70065493,54.74178725,44.10476483,96.70065493,54.74178725
6,1995,República Mexicana,0,8.082191192,18.68060815,57.08467098,93.09245396,10.10693957,16.83996934,3.568169007,21.63899691,14.77182666,21.14783419,0.288533028,36.17986409,32.28591542,39.96988783,41.47798376,9.515057096,16.86448328,30.78747819,3.262409384,7.637967585,4.375902789,4.339972261,27.69256035,45.3776139,96.90576833,56.82703945,45.3776139,96.90576833,56.82703945
7,1996,República Mexicana,0,6.745286068,18.21645268,50.24137799,87.5266746,10.24720608,17.3820203,3.328676715,21.62794949,14.71217454,21.06028575,0.265824082,37.27861182,33.51032102,40.93539925,42.90807987,9.431395537,15.45638409,28.14736533,3.080727102,7.894876252,4.257472789,4.649777684,29.08235512,46.5502771,96.86819909,58.36651917,46.5502771,96.86819909,58.36651917
8,1997,República Mexicana,0,5.075984522,20.66816743,43.77164055,79.28057535,10.33137042,17.39082938,3.481548521,20.96211663,14.82188601,21.45646321,0.319888376,37.93263807,33.92708227,41.81905958,44.55844483,9.851083938,14.221836,25.90491503,2.840799061,8.759529227,3.865053938,4.403479917,30.84771835,47.30028511,97.34029705,60.13739504,47.30028511,97.34029705,60.13739504
9,1998,República Mexicana,0,26.03390702,18.76047682,38.5894357,62.12084731,9.586257479,15.99226732,3.396634137,20.36939592,15.0871094,21.45796796,0.331887317,43.4304206,39.2413389,47.49065946,44.27418429,9.435379563,14.13902396,25.45858203,3.133391659,8.598591171,3.539437785,4.246909182,31.66973512,48.18564132,98.30784401,62.13493599,48.18564132,98.30784401,62.13493599
10,1999,República Mexicana,0,13.79733635,17.3169394,32.68596361,55.20276713,9.855810627,16.52678209,3.435925927,19.95485503,14.78847897,21.9752684,0.2790242,46.72321776,42.13956624,51.16002149,44.89519892,9.5842761,12.48325547,22.43063771,2.832353806,8.548782736,3.181081043,4.288971248,33.1217782,48.82131348,99.0117752,64.25428314,48.82131348,99.0117752,64.25428314
11,2000,República Mexicana,0,7.480872023,15.84142981,30.10543913,46.57756531,9.989091136,16.81600415,3.436911624,19.48485167,14.52476345,21.71033019,0.312799656,47.09710025,42.86739882,51.18331334,44.29101402,9.866855156,10.80120494,19.32411577,2.54553244,8.880093172,2.74636073,4.247596618,34.10384037,49.55943993,99.57166464,66.48085022,49.55943993,99.57166464,66.48085022
12,2001,República Mexicana,0,4.990744796,16.30583012,27.88916031,40.86536684,9.936195206,16.57557564,3.54792919,18.50582391,14.69447115,21.89901733,0.298685487,49.8025584,45.38349265,54.02151712,45.37322245,10.15930236,10.19726238,18.13711964,2.506011238,9.666591,2.710146243,4.312459024,36.25047704,50.01349613,100.281516,68.59118472,50.01349613,100.281516,68.59118472
13,2002,República Mexicana,0,4.555934924,15.20484164,25.5495608,42.10242396,10.79263755,17.79663701,4.070225938,17.27699389,15.33468091,22.16100712,0.332039375,54.02093426,50.48929389,57.39539234,47.57424694,10.53855535,9.876447163,17.55407175,2.460382808,9.763757931,2.487832112,4.397304837,38.32557253,53.24966629,100.1767384,71.27244006,53.24966629,100.1767384,71.27244006
