RENGLON,AÑO,ENTIDAD,CVE_GEO,EDAD,SEXO,EMIGRANTES,INMIGRANTES
1,1950-1955,República Mexicana,0,00--04,Hombres,12225,7115
2,1950-1955,República Mexicana,0,00--04,Mujeres,12700,6310
3,1955-1960,República Mexicana,0,00--04,Hombres,18264,11009
4,1955-1960,República Mexicana,0,00--04,Mujeres,20125,9096
5,1960-1965,República Mexicana,0,00--04,Hombres,25152,5924
6,1960-1965,República Mexicana,0,00--04,Mujeres,27248,4849
7,1965-1970,República Mexicana,0,00--04,Hombres,39700,9638
8,1965-1970,República Mexicana,0,00--04,Mujeres,40463,8800
9,1970-1975,República Mexicana,0,00--04,Hombres,58244,11758
10,1970-1975,República Mexicana,0,00--04,Mujeres,56129,12542
11,1975-1980,República Mexicana,0,00--04,Hombres,71498,36048
12,1975-1980,República Mexicana,0,00--04,Mujeres,64744,34250
13,1980-1985,República Mexicana,0,00--04,Hombres,80625,58085
14,1980-1985,República Mexicana,0,00--04,Mujeres,69248,55490
15,1985-1990,República Mexicana,0,00--04,Hombres,92800,43640
16,1985-1990,República Mexicana,0,00--04,Mujeres,85641,42767
17,1990-1995,República Mexicana,0,00--04,Hombres,127983,52431
18,1990-1995,República Mexicana,0,00--04,Mujeres,119829,51023
19,1995-2000,República Mexicana,0,00--04,Hombres,110233,53383
20,1995-2000,República Mexicana,0,00--04,Mujeres,128949,51984
21,2000-2005,República Mexicana,0,00--04,Hombres,100166,56379
22,2000-2005,República Mexicana,0,00--04,Mujeres,89456,54222
23,2005-2010,República Mexicana,0,00--04,Hombres,81648,130757
24,2005-2010,República Mexicana,0,00--04,Mujeres,70166,122911
25,2010-2015,República Mexicana,0,00--04,Hombres,78963,67457
26,2010-2015,República Mexicana,0,00--04,Mujeres,70073,64305
27,2015-2020,República Mexicana,0,00--04,Hombres,66266,50887
28,2020-2025,República Mexicana,0,00--04,Hombres,62227,50063
29,2025-2030,República Mexicana,0,00--04,Hombres,58381,46800
30,2030-2035,República Mexicana,0,00--04,Hombres,56963,45026
31,2035-2040,República Mexicana,0,00--04,Hombres,54327,43539
32,2040-2045,República Mexicana,0,00--04,Hombres,52348,41736
33,2045-2050,República Mexicana,0,00--04,Hombres,50170,39942
34,2015-2020,República Mexicana,0,00--04,Mujeres,66671,48120
35,2020-2025,República Mexicana,0,00--04,Mujeres,60957,48076
36,2025-2030,República Mexicana,0,00--04,Mujeres,58742,44857
37,2030-2035,República Mexicana,0,00--04,Mujeres,56506,43187
38,2035-2040,República Mexicana,0,00--04,Mujeres,54350,41756
39,2040-2045,República Mexicana,0,00--04,Mujeres,52197,39988
40,2045-2050,República Mexicana,0,00--04,Mujeres,49955,38293
41,1970-1975,Aguascalientes,1,00--04,Hombres,630,36
42,1970-1975,Aguascalientes,1,00--04,Mujeres,607,72
43,1975-1980,Aguascalientes,1,00--04,Hombres,773,195
44,1975-1980,Aguascalientes,1,00--04,Mujeres,700,221
45,1980-1985,Aguascalientes,1,00--04,Hombres,872,410
46,1980-1985,Aguascalientes,1,00--04,Mujeres,749,373
47,1985-1990,Aguascalientes,1,00--04,Hombres,1003,379
48,1985-1990,Aguascalientes,1,00--04,Mujeres,926,299
49,1990-1995,Aguascalientes,1,00--04,Hombres,1838,578
50,1990-1995,Aguascalientes,1,00--04,Mujeres,1721,549
51,1995-2000,Aguascalientes,1,00--04,Hombres,1530,713
52,1995-2000,Aguascalientes,1,00--04,Mujeres,1790,755
53,2000-2005,Aguascalientes,1,00--04,Hombres,1405,1001
54,2000-2005,Aguascalientes,1,00--04,Mujeres,1255,972
55,2005-2010,Aguascalientes,1,00--04,Hombres,1158,1405
56,2005-2010,Aguascalientes,1,00--04,Mujeres,995,1294
57,2010-2015,Aguascalientes,1,00--04,Hombres,1120,737
58,2010-2015,Aguascalientes,1,00--04,Mujeres,994,468
59,2015-2020,Aguascalientes,1,00--04,Hombres,940,732
60,2020-2025,Aguascalientes,1,00--04,Hombres,886,722
61,2025-2030,Aguascalientes,1,00--04,Hombres,827,676
