RENGLON,AÑO,ENTIDAD,CVE_GEO,EDAD,SEXO,EMIGRANTES,INMIGRANTES
1,1970-1975,Aguascalientes,1,00-04,Hombres,2646,3484
2,1970-1975,Aguascalientes,1, 05-09,Hombres,1151,2059
3,1970-1975,Aguascalientes,1, 10-14,Hombres,1073,1881
4,1970-1975,Aguascalientes,1,15-19,Hombres,1542,2053
5,1970-1975,Aguascalientes,1,20-24,Hombres,1518,1999
6,1970-1975,Aguascalientes,1,25-29,Hombres,1074,1630
7,1970-1975,Aguascalientes,1,30-34,Hombres,690,1169
8,1970-1975,Aguascalientes,1,35-39,Hombres,442,807
9,1970-1975,Aguascalientes,1,40-44,Hombres,327,577
10,1970-1975,Aguascalientes,1,45-49,Hombres,229,423
11,1970-1975,Aguascalientes,1,50-54,Hombres,140,317
12,1970-1975,Aguascalientes,1,55-59,Hombres,115,235
13,1970-1975,Aguascalientes,1,60-64,Hombres,99,192
14,1970-1975,Aguascalientes,1,65-69,Hombres,59,140
15,1970-1975,Aguascalientes,1,70-74,Hombres,33,89
16,1970-1975,Aguascalientes,1,75-79,Hombres,33,56
17,1970-1975,Aguascalientes,1,80-84,Hombres,26,33
18,1970-1975,Aguascalientes,1,85-89,Hombres,14,21
19,1970-1975,Aguascalientes,1,00-04,Mujeres,2610,3325
20,1970-1975,Aguascalientes,1, 05-09,Mujeres,1148,1975
21,1970-1975,Aguascalientes,1, 10-14,Mujeres,1136,1925
22,1970-1975,Aguascalientes,1,15-19,Mujeres,1611,2100
23,1970-1975,Aguascalientes,1,20-24,Mujeres,1491,1794
24,1970-1975,Aguascalientes,1,25-29,Mujeres,930,1325
25,1970-1975,Aguascalientes,1,30-34,Mujeres,563,915
26,1970-1975,Aguascalientes,1,35-39,Mujeres,372,604
27,1970-1975,Aguascalientes,1,40-44,Mujeres,261,439
28,1970-1975,Aguascalientes,1,45-49,Mujeres,203,347
29,1970-1975,Aguascalientes,1,50-54,Mujeres,170,270
30,1970-1975,Aguascalientes,1,55-59,Mujeres,142,219
31,1970-1975,Aguascalientes,1,60-64,Mujeres,116,197
32,1970-1975,Aguascalientes,1,65-69,Mujeres,82,155
33,1970-1975,Aguascalientes,1,70-74,Mujeres,60,115
34,1970-1975,Aguascalientes,1,75-79,Mujeres,41,82
35,1970-1975,Aguascalientes,1,80-84,Mujeres,36,52
36,1970-1975,Aguascalientes,1,85-89,Mujeres,22,27
37,1970-1975,Baja California,2,00-04,Hombres,11012,12457
38,1970-1975,Baja California,2, 05-09,Hombres,5868,6371
39,1970-1975,Baja California,2, 10-14,Hombres,4825,6008
40,1970-1975,Baja California,2,15-19,Hombres,5899,7429
41,1970-1975,Baja California,2,20-24,Hombres,6065,7400
42,1970-1975,Baja California,2,25-29,Hombres,4807,5674
43,1970-1975,Baja California,2,30-34,Hombres,3502,3721
44,1970-1975,Baja California,2,35-39,Hombres,2492,2378
45,1970-1975,Baja California,2,40-44,Hombres,1768,1660
46,1970-1975,Baja California,2,45-49,Hombres,1273,1239
47,1970-1975,Baja California,2,50-54,Hombres,873,907
48,1970-1975,Baja California,2,55-59,Hombres,616,694
49,1970-1975,Baja California,2,60-64,Hombres,501,531
50,1970-1975,Baja California,2,65-69,Hombres,359,354
51,1970-1975,Baja California,2,70-74,Hombres,223,209
52,1970-1975,Baja California,2,75-79,Hombres,129,121
53,1970-1975,Baja California,2,80-84,Hombres,83,84
54,1970-1975,Baja California,2,85-89,Hombres,41,38
55,1970-1975,Baja California,2,00-04,Mujeres,10512,12026
56,1970-1975,Baja California,2, 05-09,Mujeres,5757,6418
57,1970-1975,Baja California,2, 10-14,Mujeres,5056,6471
58,1970-1975,Baja California,2,15-19,Mujeres,5827,7838
59,1970-1975,Baja California,2,20-24,Mujeres,5252,6854
60,1970-1975,Baja California,2,25-29,Mujeres,3753,4621
61,1970-1975,Baja California,2,30-34,Mujeres,2513,2947
