CLAVE_MUNICIPIO,MUNICIPIO,CLAVE_ENTIDAD,county_id,county_name_esp,county_name_eng,
001,AGUASCALIENTES,01,01001,Aguascalientes,Aguascalientes,
002,ASIENTOS,01,01002,Asientos,Asientos,
003,CALVILLO,01,01003,Calvillo,Calvillo,
004,COSÍO,01,01004,Cosío,Cosio,
005,JESÚS MARÍA,01,01005,Jesús María,Jesus Maria,
006,PABELLÓN DE ARTEAGA,01,01006,Pabellón De Arteaga,Pabellon De Arteaga,
007,RINCÓN DE ROMOS,01,01007,Rincón De Romos,Rincon De Romos,
008,SAN JOSÉ DE GRACIA,01,01008,San José De Gracia,San Jose De Gracia,
009,TEPEZALÁ,01,01009,Tepezalá,Tepezala,
010,EL LLANO,01,01010,El Llano,El Llano,
011,SAN FRANCISCO DE LOS ROMO,01,01011,San Francisco De Los Romo,San Francisco De Los Romo,
999,NO ESPECIFICADO,01,01999,No Especificado,No Especificado,
001,ENSENADA,02,02001,Ensenada,Ensenada,
002,MEXICALI,02,02002,Mexicali,Mexicali,
003,TECATE,02,02003,Tecate,Tecate,
004,TIJUANA,02,02004,Tijuana,Tijuana,
005,PLAYAS DE ROSARITO,02,02005,Playas De Rosarito,Playas De Rosarito,
999,NO ESPECIFICADO,02,02999,No Especificado,No Especificado,
001,COMONDÚ,03,03001,Comondú,Comondu,
002,MULEGÉ,03,03002,Mulegé,Mulege,
003,LA PAZ,03,03003,La Paz,La Paz,
008,LOS CABOS,03,03008,Los Cabos,Los Cabos,
009,LORETO,03,03009,Loreto,Loreto,
999,NO ESPECIFICADO,03,03999,No Especificado,No Especificado,
001,CALKINÍ,04,04001,Calkiní,Calkini,
002,CAMPECHE,04,04002,Campeche,Campeche,
003,CARMEN,04,04003,Carmen,Carmen,
004,CHAMPOTÓN,04,04004,Champotón,Champoton,
005,HECELCHAKÁN,04,04005,Hecelchakán,Hecelchakan,
006,HOPELCHÉN,04,04006,Hopelchén,Hopelchen,
007,PALIZADA,04,04007,Palizada,Palizada,
008,TENABO,04,04008,Tenabo,Tenabo,
009,ESCÁRCEGA,04,04009,Escárcega,Escarcega,
010,CALAKMUL,04,04010,Calakmul,Calakmul,
011,CANDELARIA,04,04011,Candelaria,Candelaria,
999,NO ESPECIFICADO,04,04999,No Especificado,No Especificado,
001,ABASOLO,05,05001,Abasolo,Abasolo,
002,ACUÑA,05,05002,Acuña,Acuña,
003,ALLENDE,05,05003,Allende,Allende,
004,ARTEAGA,05,05004,Arteaga,Arteaga,
005,CANDELA,05,05005,Candela,Candela,
006,CASTAÑOS,05,05006,Castaños,Castaños,
007,CUATRO CIÉNEGAS,05,05007,Cuatro Ciénegas,Cuatro Cienegas,
008,ESCOBEDO,05,05008,Escobedo,Escobedo,
009,FRANCISCO I. MADERO,05,05009,Francisco I. Madero,Francisco I. Madero,
010,FRONTERA,05,05010,Frontera,Frontera,
011,GENERAL CEPEDA,05,05011,General Cepeda,General Cepeda,
012,GUERRERO,05,05012,Guerrero,Guerrero,
