RENGLON,AÑO,ENTIDAD,CVE_GEO,GPO_EDAD,TASAS (1),NACIMIENTOS
1,1950,República Mexicana,0,15-19,149.49,202465
2,1951,República Mexicana,0,15-19,152.02,210795
3,1952,República Mexicana,0,15-19,153.13,217474
4,1953,República Mexicana,0,15-19,154.67,225197
5,1954,República Mexicana,0,15-19,154.93,231595
6,1955,República Mexicana,0,15-19,155.93,239721
7,1956,República Mexicana,0,15-19,156.79,248176
8,1957,República Mexicana,0,15-19,157.2,256249
9,1958,República Mexicana,0,15-19,156.97,263552
10,1959,República Mexicana,0,15-19,156.6,270985
11,1960,República Mexicana,0,15-19,156,278379
12,1961,República Mexicana,0,15-19,155,285497
13,1962,República Mexicana,0,15-19,153.5,292294
14,1963,República Mexicana,0,15-19,151.53,298780
15,1964,República Mexicana,0,15-19,149.22,305028
16,1965,República Mexicana,0,15-19,146.71,310979
17,1966,República Mexicana,0,15-19,143.87,316472
18,1967,República Mexicana,0,15-19,140.71,321877
19,1968,República Mexicana,0,15-19,137.75,328168
20,1969,República Mexicana,0,15-19,135.71,337030
21,1970,República Mexicana,0,15-19,134.67,348999
22,1971,República Mexicana,0,15-19,133.93,362353
23,1972,República Mexicana,0,15-19,133.43,376637
24,1973,República Mexicana,0,15-19,132.64,390270
25,1974,República Mexicana,0,15-19,131.54,403004
26,1975,República Mexicana,0,15-19,130.07,414358
27,1976,República Mexicana,0,15-19,127.82,422751
28,1977,República Mexicana,0,15-19,125.39,429728
29,1978,República Mexicana,0,15-19,122.55,434403
30,1979,República Mexicana,0,15-19,119.22,436288
31,1980,República Mexicana,0,15-19,115.39,435350
32,1981,República Mexicana,0,15-19,111.08,431623
33,1982,República Mexicana,0,15-19,106.64,426434
34,1983,República Mexicana,0,15-19,102.41,421278
35,1984,República Mexicana,0,15-19,98.47,416587
36,1985,República Mexicana,0,15-19,95.07,413452
37,1986,República Mexicana,0,15-19,92.28,412193
38,1987,República Mexicana,0,15-19,90.12,412940
39,1988,República Mexicana,0,15-19,88.5,415181
40,1989,República Mexicana,0,15-19,87.21,417676
41,1990,República Mexicana,0,15-19,86.14,419878
42,1991,República Mexicana,0,15-19,85.3,421514
43,1992,República Mexicana,0,15-19,84.64,422450
44,1993,República Mexicana,0,15-19,84.07,422492
45,1994,República Mexicana,0,15-19,83.48,421602
46,1995,República Mexicana,0,15-19,82.76,419628
47,1996,República Mexicana,0,15-19,82.08,417620
48,1997,República Mexicana,0,15-19,81.32,415343
49,1998,República Mexicana,0,15-19,80.2,411495
50,1999,República Mexicana,0,15-19,78.83,406415
51,2000,República Mexicana,0,15-19,77.87,402892
52,2001,República Mexicana,0,15-19,77.38,401991
53,2002,República Mexicana,0,15-19,77.06,402634
54,2003,República Mexicana,0,15-19,76.86,403972
55,2004,República Mexicana,0,15-19,76.49,403990
56,2005,República Mexicana,0,15-19,75.79,402205
57,2006,República Mexicana,0,15-19,75.12,401181
58,2007,República Mexicana,0,15-19,74.95,403147
59,2008,República Mexicana,0,15-19,75.24,407780
60,2009,República Mexicana,0,15-19,75.65,412789
61,2010,República Mexicana,0,15-19,76.13,417361
62,2011,República Mexicana,0,15-19,76.38,419675
63,2012,República Mexicana,0,15-19,76.33,419290
64,2013,República Mexicana,0,15-19,76.07,417153
65,2014,República Mexicana,0,15-19,75.56,413318
66,2015,República Mexicana,0,15-19,74.33,405645
67,1950,República Mexicana,0,20-24,297.61,341289
68,1951,República Mexicana,0,20-24,301.39,355780
69,1952,República Mexicana,0,20-24,304.87,369952
70,1953,República Mexicana,0,20-24,308.38,384179
71,1954,República Mexicana,0,20-24,309.19,395029
72,1955,República Mexicana,0,20-24,311.6,407879
73,1956,República Mexicana,0,20-24,314.6,421802
74,1957,República Mexicana,0,20-24,318.69,437816
75,1958,República Mexicana,0,20-24,323.5,455767
76,1959,República Mexicana,0,20-24,326.53,472320
77,1960,República Mexicana,0,20-24,326.19,485081
78,1961,República Mexicana,0,20-24,323.08,494500
79,1962,República Mexicana,0,20-24,320.22,504613
80,1963,República Mexicana,0,20-24,318.54,516855
81,1964,República Mexicana,0,20-24,318.16,531901
82,1965,República Mexicana,0,20-24,316.91,546199
83,1966,República Mexicana,0,20-24,315.08,560197
84,1967,República Mexicana,0,20-24,313.21,575244
85,1968,República Mexicana,0,20-24,311.24,591344
86,1969,República Mexicana,0,20-24,309.17,608232
87,1970,República Mexicana,0,20-24,306.67,624579
88,1971,República Mexicana,0,20-24,302.62,638558
89,1972,República Mexicana,0,20-24,299.19,655679
90,1973,República Mexicana,0,20-24,294.87,672341
91,1974,República Mexicana,0,20-24,289.43,687543
92,1975,República Mexicana,0,20-24,282.46,700256
93,1976,República Mexicana,0,20-24,272.94,706760
94,1977,República Mexicana,0,20-24,263,710923
95,1978,República Mexicana,0,20-24,253.22,714015
96,1979,República Mexicana,0,20-24,244.96,719767
97,1980,República Mexicana,0,20-24,238.37,728801
98,1981,República Mexicana,0,20-24,232.91,739645
99,1982,República Mexicana,0,20-24,227.75,749581
100,1983,República Mexicana,0,20-24,221.83,754871
101,1984,República Mexicana,0,20-24,215.7,757302
102,1985,República Mexicana,0,20-24,209.34,756840
103,1986,República Mexicana,0,20-24,203.35,756017
104,1987,República Mexicana,0,20-24,197.8,755537
105,1988,República Mexicana,0,20-24,192.7,755797
106,1989,República Mexicana,0,20-24,188.21,757679
107,1990,República Mexicana,0,20-24,184.08,760175
108,1991,República Mexicana,0,20-24,179.95,761863
109,1992,República Mexicana,0,20-24,175.68,761748
110,1993,República Mexicana,0,20-24,171.39,759698
111,1994,República Mexicana,0,20-24,167.23,756126
112,1995,República Mexicana,0,20-24,162.77,748540
113,1996,República Mexicana,0,20-24,158.61,739022
114,1997,República Mexicana,0,20-24,155.24,730275
115,1998,República Mexicana,0,20-24,152.89,724704
116,1999,República Mexicana,0,20-24,151.24,721257
117,2000,República Mexicana,0,20-24,149.69,715818
118,2001,República Mexicana,0,20-24,147.56,707424
119,2002,República Mexicana,0,20-24,144.75,697724
120,2003,República Mexicana,0,20-24,141.96,689012
121,2004,República Mexicana,0,20-24,139.82,683362
122,2005,República Mexicana,0,20-24,137.93,679192
123,2006,República Mexicana,0,20-24,136.55,678674
124,2007,República Mexicana,0,20-24,135.59,681206
125,2008,República Mexicana,0,20-24,134.47,683731
126,2009,República Mexicana,0,20-24,133.29,685975
127,2010,República Mexicana,0,20-24,132.16,687948
128,2011,República Mexicana,0,20-24,130.99,689267
129,2012,República Mexicana,0,20-24,129.3,687110
130,2013,República Mexicana,0,20-24,127.29,682075
131,2014,República Mexicana,0,20-24,125.62,677467
