"","year","state","CVE_GEO","births"
"1",1970,"01",1,15353
"2",1970,"02",2,34333
"3",1970,"03",3,5113
"4",1970,"04",4,12073
"5",1970,"05",5,47468
"6",1970,"06",6,10386
"7",1970,"07",7,83111
"8",1970,"08",8,68452
"9",1970,"09",9,298537
"10",1970,"10",10,42644
"11",1970,"11",11,103624
"12",1970,"12",12,85806
"13",1970,"13",13,57592
"14",1970,"14",14,154621
"15",1970,"15",15,171152
"16",1970,"16",16,112109
"17",1970,"17",17,27021
"18",1970,"18",18,24257
"19",1970,"19",19,68631
"20",1970,"20",20,108232
"21",1970,"21",21,130600
"22",1970,"22",22,22889
"23",1970,"23",23,3946
"24",1970,"24",24,62505
"25",1970,"25",25,52232
"26",1970,"26",26,46911
"27",1970,"27",27,35807
"28",1970,"28",28,61615
"29",1970,"29",29,18779
"30",1970,"30",30,177570
"31",1970,"31",31,35363
"32",1970,"32",32,43853
"33",1970,"33",0,2222585
"34",1971,"01",1,15850
"35",1971,"02",2,34498
"36",1971,"03",3,5288
"37",1971,"04",4,12503
"38",1971,"05",5,48047
"39",1971,"06",6,10616
"40",1971,"07",7,84631
"41",1971,"08",8,68696
"42",1971,"09",9,298267
"43",1971,"10",10,43153
"44",1971,"11",11,105563
"45",1971,"12",12,87375
"46",1971,"13",13,58353
"47",1971,"14",14,157602
"48",1971,"15",15,181401
"49",1971,"16",16,113807
"50",1971,"17",17,27696
"51",1971,"18",18,24643
"52",1971,"19",19,69509
"53",1971,"20",20,109132
"54",1971,"21",21,133160
"55",1971,"22",22,23657
"56",1971,"23",23,4332
"57",1971,"24",24,63573
"58",1971,"25",25,53206
"59",1971,"26",26,47354
"60",1971,"27",27,36510
"61",1971,"28",28,61942
"62",1971,"29",29,19119
"63",1971,"30",30,180657
"64",1971,"31",31,35928
"65",1971,"32",32,44412
"66",1971,"33",0,2260480
"67",1972,"01",1,16364
"68",1972,"02",2,34641
"69",1972,"03",3,5469
"70",1972,"04",4,12943
"71",1972,"05",5,48612
"72",1972,"06",6,10853
"73",1972,"07",7,86166
"74",1972,"08",8,68913
"75",1972,"09",9,297800
"76",1972,"10",10,43665
"77",1972,"11",11,107544
"78",1972,"12",12,88973
"79",1972,"13",13,59124
