"","year","state","CVE_GEO","age","births_grouped","births","ferty_rate"
"1",2020,"Aguascalientes",1,15,4858,971.6,14.766
"2",2020,"Aguascalientes",1,16,4858,971.6,14.766
"3",2020,"Aguascalientes",1,17,4858,971.6,14.766
"4",2020,"Aguascalientes",1,18,4858,971.6,14.766
"5",2020,"Aguascalientes",1,19,4858,971.6,14.766
"6",2020,"Aguascalientes",1,20,7279,1455.8,22.76
"7",2020,"Aguascalientes",1,21,7279,1455.8,22.76
"8",2020,"Aguascalientes",1,22,7279,1455.8,22.76
"9",2020,"Aguascalientes",1,23,7279,1455.8,22.76
"10",2020,"Aguascalientes",1,24,7279,1455.8,22.76
"11",2020,"Aguascalientes",1,25,5978,1195.6,19.456
"12",2020,"Aguascalientes",1,26,5978,1195.6,19.456
"13",2020,"Aguascalientes",1,27,5978,1195.6,19.456
"14",2020,"Aguascalientes",1,28,5978,1195.6,19.456
"15",2020,"Aguascalientes",1,29,5978,1195.6,19.456
"16",2020,"Aguascalientes",1,30,3875,775,13.68
"17",2020,"Aguascalientes",1,31,3875,775,13.68
"18",2020,"Aguascalientes",1,32,3875,775,13.68
"19",2020,"Aguascalientes",1,33,3875,775,13.68
"20",2020,"Aguascalientes",1,34,3875,775,13.68
"21",2020,"Aguascalientes",1,35,2122,424.4,8.192
"22",2020,"Aguascalientes",1,36,2122,424.4,8.192
"23",2020,"Aguascalientes",1,37,2122,424.4,8.192
"24",2020,"Aguascalientes",1,38,2122,424.4,8.192
"25",2020,"Aguascalientes",1,39,2122,424.4,8.192
"26",2020,"Aguascalientes",1,40,401,80.2,1.664
"27",2020,"Aguascalientes",1,41,401,80.2,1.664
"28",2020,"Aguascalientes",1,42,401,80.2,1.664
"29",2020,"Aguascalientes",1,43,401,80.2,1.664
"30",2020,"Aguascalientes",1,44,401,80.2,1.664
"31",2020,"Aguascalientes",1,45,9,1.8,0.04
"32",2020,"Aguascalientes",1,46,9,1.8,0.04
"33",2020,"Aguascalientes",1,47,9,1.8,0.04
"34",2020,"Aguascalientes",1,48,9,1.8,0.04
"35",2020,"Aguascalientes",1,49,9,1.8,0.04
"36",2020,"Baja California",2,15,9574,1914.8,12.502
"37",2020,"Baja California",2,16,9574,1914.8,12.502
"38",2020,"Baja California",2,17,9574,1914.8,12.502
"39",2020,"Baja California",2,18,9574,1914.8,12.502
"40",2020,"Baja California",2,19,9574,1914.8,12.502
"41",2020,"Baja California",2,20,16999,3399.8,21.922
"42",2020,"Baja California",2,21,16999,3399.8,21.922
"43",2020,"Baja California",2,22,16999,3399.8,21.922
"44",2020,"Baja California",2,23,16999,3399.8,21.922
"45",2020,"Baja California",2,24,16999,3399.8,21.922
"46",2020,"Baja California",2,25,15399,3079.8,19.698
"47",2020,"Baja California",2,26,15399,3079.8,19.698
"48",2020,"Baja California",2,27,15399,3079.8,19.698
"49",2020,"Baja California",2,28,15399,3079.8,19.698
"50",2020,"Baja California",2,29,15399,3079.8,19.698
"51",2020,"Baja California",2,30,10633,2126.6,14.336
"52",2020,"Baja California",2,31,10633,2126.6,14.336
"53",2020,"Baja California",2,32,10633,2126.6,14.336
"54",2020,"Baja California",2,33,10633,2126.6,14.336
"55",2020,"Baja California",2,34,10633,2126.6,14.336
"56",2020,"Baja California",2,35,4209,841.8,6.156
"57",2020,"Baja California",2,36,4209,841.8,6.156
"58",2020,"Baja California",2,37,4209,841.8,6.156
"59",2020,"Baja California",2,38,4209,841.8,6.156
"60",2020,"Baja California",2,39,4209,841.8,6.156
"61",2020,"Baja California",2,40,1025,205,1.61
"62",2020,"Baja California",2,41,1025,205,1.61
"63",2020,"Baja California",2,42,1025,205,1.61
"64",2020,"Baja California",2,43,1025,205,1.61
"65",2020,"Baja California",2,44,1025,205,1.61
"66",2020,"Baja California",2,45,102,20.4,0.172
"67",2020,"Baja California",2,46,102,20.4,0.172
"68",2020,"Baja California",2,47,102,20.4,0.172
"69",2020,"Baja California",2,48,102,20.4,0.172
"70",2020,"Baja California",2,49,102,20.4,0.172
"71",2020,"Baja California Sur",3,15,2261,452.2,13.806
"72",2020,"Baja California Sur",3,16,2261,452.2,13.806
"73",2020,"Baja California Sur",3,17,2261,452.2,13.806
"74",2020,"Baja California Sur",3,18,2261,452.2,13.806
"75",2020,"Baja California Sur",3,19,2261,452.2,13.806
"76",2020,"Baja California Sur",3,20,4410,882,26.712
"77",2020,"Baja California Sur",3,21,4410,882,26.712
"78",2020,"Baja California Sur",3,22,4410,882,26.712
"79",2020,"Baja California Sur",3,23,4410,882,26.712
"80",2020,"Baja California Sur",3,24,4410,882,26.712
"81",2020,"Baja California Sur",3,25,3424,684.8,20.472
"82",2020,"Baja California Sur",3,26,3424,684.8,20.472
"83",2020,"Baja California Sur",3,27,3424,684.8,20.472
"84",2020,"Baja California Sur",3,28,3424,684.8,20.472
"85",2020,"Baja California Sur",3,29,3424,684.8,20.472
"86",2020,"Baja California Sur",3,30,2530,506,15.7
"87",2020,"Baja California Sur",3,31,2530,506,15.7
"88",2020,"Baja California Sur",3,32,2530,506,15.7
"89",2020,"Baja California Sur",3,33,2530,506,15.7
"90",2020,"Baja California Sur",3,34,2530,506,15.7
"91",2020,"Baja California Sur",3,35,1270,254,8.404
"92",2020,"Baja California Sur",3,36,1270,254,8.404
"93",2020,"Baja California Sur",3,37,1270,254,8.404
"94",2020,"Baja California Sur",3,38,1270,254,8.404
"95",2020,"Baja California Sur",3,39,1270,254,8.404
"96",2020,"Baja California Sur",3,40,142,28.4,1.012
"97",2020,"Baja California Sur",3,41,142,28.4,1.012
"98",2020,"Baja California Sur",3,42,142,28.4,1.012
"99",2020,"Baja California Sur",3,43,142,28.4,1.012
"100",2020,"Baja California Sur",3,44,142,28.4,1.012
"101",2020,"Baja California Sur",3,45,0,0,0
"102",2020,"Baja California Sur",3,46,0,0,0
"103",2020,"Baja California Sur",3,47,0,0,0
"104",2020,"Baja California Sur",3,48,0,0,0
"105",2020,"Baja California Sur",3,49,0,0,0
"106",2020,"Campeche",4,15,3342,668.4,15.834
"107",2020,"Campeche",4,16,3342,668.4,15.834
"108",2020,"Campeche",4,17,3342,668.4,15.834
"109",2020,"Campeche",4,18,3342,668.4,15.834
"110",2020,"Campeche",4,19,3342,668.4,15.834
"111",2020,"Campeche",4,20,5116,1023.2,23.83
"112",2020,"Campeche",4,21,5116,1023.2,23.83
"113",2020,"Campeche",4,22,5116,1023.2,23.83
"114",2020,"Campeche",4,23,5116,1023.2,23.83
"115",2020,"Campeche",4,24,5116,1023.2,23.83
"116",2020,"Campeche",4,25,4838,967.6,22.006
"117",2020,"Campeche",4,26,4838,967.6,22.006
"118",2020,"Campeche",4,27,4838,967.6,22.006
"119",2020,"Campeche",4,28,4838,967.6,22.006
"120",2020,"Campeche",4,29,4838,967.6,22.006
"121",2020,"Campeche",4,30,2914,582.8,13.844
"122",2020,"Campeche",4,31,2914,582.8,13.844
"123",2020,"Campeche",4,32,2914,582.8,13.844
"124",2020,"Campeche",4,33,2914,582.8,13.844
"125",2020,"Campeche",4,34,2914,582.8,13.844
"126",2020,"Campeche",4,35,1381,276.2,7.212
"127",2020,"Campeche",4,36,1381,276.2,7.212
"128",2020,"Campeche",4,37,1381,276.2,7.212
"129",2020,"Campeche",4,38,1381,276.2,7.212
"130",2020,"Campeche",4,39,1381,276.2,7.212
"131",2020,"Campeche",4,40,286,57.2,1.67
"132",2020,"Campeche",4,41,286,57.2,1.67
"133",2020,"Campeche",4,42,286,57.2,1.67
"134",2020,"Campeche",4,43,286,57.2,1.67
"135",2020,"Campeche",4,44,286,57.2,1.67
"136",2020,"Campeche",4,45,12,2.4,0.078
"137",2020,"Campeche",4,46,12,2.4,0.078
"138",2020,"Campeche",4,47,12,2.4,0.078
"139",2020,"Campeche",4,48,12,2.4,0.078
"140",2020,"Campeche",4,49,12,2.4,0.078
"141",2020,"Chiapas",7,15,23128,4625.6,16.97
"142",2020,"Chiapas",7,16,23128,4625.6,16.97
"143",2020,"Chiapas",7,17,23128,4625.6,16.97
"144",2020,"Chiapas",7,18,23128,4625.6,16.97
"145",2020,"Chiapas",7,19,23128,4625.6,16.97
"146",2020,"Chiapas",7,20,38008,7601.6,29.812
"147",2020,"Chiapas",7,21,38008,7601.6,29.812
"148",2020,"Chiapas",7,22,38008,7601.6,29.812
"149",2020,"Chiapas",7,23,38008,7601.6,29.812
"150",2020,"Chiapas",7,24,38008,7601.6,29.812
"151",2020,"Chiapas",7,25,32492,6498.4,26.638
