"","year","state","CVE_GEO","age_group","ferty_rate","births"
"1",1970,"01",1,"15-19",101.16,1856
"2",1970,"01",1,"20-24",322.4,4493
"3",1970,"01",1,"25-29",323.95,3557
"4",1970,"01",1,"30-34",293.67,2678
"5",1970,"01",1,"35-39",264.57,2107
"6",1970,"01",1,"40-44",88.83,620
"7",1970,"01",1,"45-49",7,42
"8",1970,"02",2,"15-19",94.73,4653
"9",1970,"02",2,"20-24",272.84,10422
"10",1970,"02",2,"25-29",286.33,8821
"11",1970,"02",2,"30-34",225.9,5808
"12",1970,"02",2,"35-39",166.92,3657
"13",1970,"02",2,"40-44",47.94,882
"14",1970,"02",2,"45-49",5.99,90
"15",1970,"03",3,"15-19",118.67,813
"16",1970,"03",3,"20-24",300.84,1580
"17",1970,"03",3,"25-29",299.15,1266
"18",1970,"03",3,"30-34",239.62,843
"19",1970,"03",3,"35-39",161.55,479
"20",1970,"03",3,"40-44",49.84,124
"21",1970,"03",3,"45-49",3.84,8
"22",1970,"04",4,"15-19",185.21,2578
"23",1970,"04",4,"20-24",349.6,3797
"24",1970,"04",4,"25-29",282.49,2482
"25",1970,"04",4,"30-34",224.21,1658
"26",1970,"04",4,"35-39",170.71,1090
"27",1970,"04",4,"40-44",77.04,416
"28",1970,"04",4,"45-49",11.77,52
"29",1970,"07",7,"15-19",192.06,16682
"30",1970,"07",7,"20-24",283.87,19716
"31",1970,"07",7,"25-29",371.33,20993
"32",1970,"07",7,"30-34",305.42,13960
"33",1970,"07",7,"35-39",246.74,9133
"34",1970,"07",7,"40-44",83.34,2455
"35",1970,"07",7,"45-49",7.45,172
"36",1970,"08",8,"15-19",149.68,12896
"37",1970,"08",8,"20-24",288.21,19329
"38",1970,"08",8,"25-29",302.23,16516
"39",1970,"08",8,"30-34",237.64,10946
"40",1970,"08",8,"35-39",170.66,6738
"41",1970,"08",8,"40-44",56.75,1892
"42",1970,"08",8,"45-49",4.87,135
"43",1970,"09",9,"15-19",103.04,40216
"44",1970,"09",9,"20-24",274.82,90033
"45",1970,"09",9,"25-29",282.94,76639
"46",1970,"09",9,"30-34",232.98,52100
"47",1970,"09",9,"35-39",156.07,29632
"48",1970,"09",9,"40-44",51.09,8293
"49",1970,"09",9,"45-49",11.84,1624
"50",1970,"05",5,"15-19",149.87,8935
"51",1970,"05",5,"20-24",302.34,14050
"52",1970,"05",5,"25-29",305.82,11523
"53",1970,"05",5,"30-34",241.45,7649
"54",1970,"05",5,"35-39",155.49,4252
"55",1970,"05",5,"40-44",41.21,964
"56",1970,"05",5,"45-49",4.84,95
