"","year","state","CVE_GEO","age","population","births_grouped","births","ferty_rate","birth_rate"
"1",2020,"Aguascalientes",1,15,26946,4858,971.6,14.766,0.0360572997847547
"2",2020,"Aguascalientes",1,16,26880,4858,971.6,14.766,0.0361458333333333
"3",2020,"Aguascalientes",1,17,26771,4858,971.6,14.766,0.0362930036233237
"4",2020,"Aguascalientes",1,18,26655,4858,971.6,14.766,0.0364509472894391
"5",2020,"Aguascalientes",1,19,26498,4858,971.6,14.766,0.0366669182579817
"6",2020,"Aguascalientes",1,20,26325,7279,1455.8,22.76,0.055301044634378
"7",2020,"Aguascalientes",1,21,26155,7279,1455.8,22.76,0.0556604855668132
"8",2020,"Aguascalientes",1,22,25998,7279,1455.8,22.76,0.0559966151242403
"9",2020,"Aguascalientes",1,23,25854,7279,1455.8,22.76,0.0563085015858281
"10",2020,"Aguascalientes",1,24,25725,7279,1455.8,22.76,0.0565908649173955
"11",2020,"Aguascalientes",1,25,25549,5978,1195.6,19.456,0.0467963521077146
"12",2020,"Aguascalientes",1,26,25252,5978,1195.6,19.456,0.0473467448122921
"13",2020,"Aguascalientes",1,27,24887,5978,1195.6,19.456,0.0480411459798288
"14",2020,"Aguascalientes",1,28,24430,5978,1195.6,19.456,0.0489398280802292
"15",2020,"Aguascalientes",1,29,23870,5978,1195.6,19.456,0.0500879765395894
"16",2020,"Aguascalientes",1,30,23290,3875,775,13.68,0.0332760841562903
"17",2020,"Aguascalientes",1,31,22746,3875,775,13.68,0.0340719247340192
"18",2020,"Aguascalientes",1,32,22180,3875,775,13.68,0.034941388638413
"19",2020,"Aguascalientes",1,33,21622,3875,775,13.68,0.035843122745352
"20",2020,"Aguascalientes",1,34,21086,3875,775,13.68,0.0367542445224319
"21",2020,"Aguascalientes",1,35,20563,2122,424.4,8.192,0.0206390118173418
"22",2020,"Aguascalientes",1,36,20052,2122,424.4,8.192,0.0211649710752045
"23",2020,"Aguascalientes",1,37,19572,2122,424.4,8.192,0.0216840384222358
"24",2020,"Aguascalientes",1,38,19135,2122,424.4,8.192,0.0221792526783381
"25",2020,"Aguascalientes",1,39,18747,2122,424.4,8.192,0.0226382887928735
"26",2020,"Aguascalientes",1,40,18425,401,80.2,1.664,0.0043527815468114
"27",2020,"Aguascalientes",1,41,18150,401,80.2,1.664,0.00441873278236915
"28",2020,"Aguascalientes",1,42,17931,401,80.2,1.664,0.00447270090904021
"29",2020,"Aguascalientes",1,43,17754,401,80.2,1.664,0.00451729187788667
"30",2020,"Aguascalientes",1,44,17611,401,80.2,1.664,0.00455397194934984
"31",2020,"Aguascalientes",1,45,17370,9,1.8,0.04,0.000103626943005181
"32",2020,"Aguascalientes",1,46,17069,9,1.8,0.04,0.00010545433241549
"33",2020,"Aguascalientes",1,47,16699,9,1.8,0.04,0.000107790885681777
"34",2020,"Aguascalientes",1,48,16263,9,1.8,0.04,0.000110680686220255
"35",2020,"Aguascalientes",1,49,15786,9,1.8,0.04,0.000114025085518814
"36",2020,"Baja California",2,15,62031,9574,1914.8,12.502,0.0308684367493673
"37",2020,"Baja California",2,16,62220,9574,1914.8,12.502,0.0307746705239473
"38",2020,"Baja California",2,17,62380,9574,1914.8,12.502,0.0306957358127605
"39",2020,"Baja California",2,18,62617,9574,1914.8,12.502,0.0305795550729035
"40",2020,"Baja California",2,19,62714,9574,1914.8,12.502,0.0305322575501483
"41",2020,"Baja California",2,20,62787,16999,3399.8,21.922,0.0541481516874512
"42",2020,"Baja California",2,21,63007,16999,3399.8,21.922,0.0539590839113114
"43",2020,"Baja California",2,22,63317,16999,3399.8,21.922,0.0536949002637522
"44",2020,"Baja California",2,23,63728,16999,3399.8,21.922,0.0533486065779563
"45",2020,"Baja California",2,24,64129,16999,3399.8,21.922,0.0530150166071512
"46",2020,"Baja California",2,25,64294,15399,3079.8,19.698,0.0479018259868728
"47",2020,"Baja California",2,26,64080,15399,3079.8,19.698,0.048061797752809
"48",2020,"Baja California",2,27,63676,15399,3079.8,19.698,0.0483667315786167
"49",2020,"Baja California",2,28,63029,15399,3079.8,19.698,0.0488632216916023
"50",2020,"Baja California",2,29,62129,15399,3079.8,19.698,0.0495710537752097
"51",2020,"Baja California",2,30,61119,10633,2126.6,14.336,0.0347944174479294
"52",2020,"Baja California",2,31,60062,10633,2126.6,14.336,0.0354067463620925
"53",2020,"Baja California",2,32,58892,10633,2126.6,14.336,0.0361101677647219
"54",2020,"Baja California",2,33,57664,10633,2126.6,14.336,0.0368791620421754
"55",2020,"Baja California",2,34,56518,10633,2126.6,14.336,0.0376269507059698
"56",2020,"Baja California",2,35,55417,4209,841.8,6.156,0.0151902845697169
"57",2020,"Baja California",2,36,54285,4209,841.8,6.156,0.015507046145344
"58",2020,"Baja California",2,37,53201,4209,841.8,6.156,0.0158230108456608
"59",2020,"Baja California",2,38,52188,4209,841.8,6.156,0.0161301448608876
