"","year","state","CVE_GEO","age","sex","population","ferty_rate"
"1",2020,"Aguascalientes",1,15,"Female",13223,14.766
"2",2020,"Aguascalientes",1,16,"Female",13196,14.766
"3",2020,"Aguascalientes",1,17,"Female",13150,14.766
"4",2020,"Aguascalientes",1,18,"Female",13102,14.766
"5",2020,"Aguascalientes",1,19,"Female",13027,14.766
"6",2020,"Aguascalientes",1,20,"Female",12933,22.76
"7",2020,"Aguascalientes",1,21,"Female",12829,22.76
"8",2020,"Aguascalientes",1,22,"Female",12740,22.76
"9",2020,"Aguascalientes",1,23,"Female",12670,22.76
"10",2020,"Aguascalientes",1,24,"Female",12612,22.76
"11",2020,"Aguascalientes",1,25,"Female",12531,19.456
"12",2020,"Aguascalientes",1,26,"Female",12400,19.456
"13",2020,"Aguascalientes",1,27,"Female",12246,19.456
"14",2020,"Aguascalientes",1,28,"Female",12065,19.456
"15",2020,"Aguascalientes",1,29,"Female",11849,19.456
"16",2020,"Aguascalientes",1,30,"Female",11628,13.68
"17",2020,"Aguascalientes",1,31,"Female",11434,13.68
"18",2020,"Aguascalientes",1,32,"Female",11227,13.68
"19",2020,"Aguascalientes",1,33,"Female",11021,13.68
"20",2020,"Aguascalientes",1,34,"Female",10821,13.68
"21",2020,"Aguascalientes",1,35,"Female",10625,8.192
"22",2020,"Aguascalientes",1,36,"Female",10437,8.192
"23",2020,"Aguascalientes",1,37,"Female",10256,8.192
"24",2020,"Aguascalientes",1,38,"Female",10091,8.192
"25",2020,"Aguascalientes",1,39,"Female",9940,8.192
"26",2020,"Aguascalientes",1,40,"Female",9806,1.664
"27",2020,"Aguascalientes",1,41,"Female",9682,1.664
"28",2020,"Aguascalientes",1,42,"Female",9577,1.664
"29",2020,"Aguascalientes",1,43,"Female",9484,1.664
"30",2020,"Aguascalientes",1,44,"Female",9403,1.664
"31",2020,"Aguascalientes",1,45,"Female",9266,0.04
"32",2020,"Aguascalientes",1,46,"Female",9097,0.04
"33",2020,"Aguascalientes",1,47,"Female",8891,0.04
"34",2020,"Aguascalientes",1,48,"Female",8652,0.04
"35",2020,"Aguascalientes",1,49,"Female",8396,0.04
"36",2020,"Baja California",2,15,"Female",30463,12.502
"37",2020,"Baja California",2,16,"Female",30501,12.502
"38",2020,"Baja California",2,17,"Female",30549,12.502
"39",2020,"Baja California",2,18,"Female",30648,12.502
"40",2020,"Baja California",2,19,"Female",30691,12.502
"41",2020,"Baja California",2,20,"Female",30704,21.922
"42",2020,"Baja California",2,21,"Female",30771,21.922
"43",2020,"Baja California",2,22,"Female",30901,21.922
"44",2020,"Baja California",2,23,"Female",31109,21.922
"45",2020,"Baja California",2,24,"Female",31322,21.922
"46",2020,"Baja California",2,25,"Female",31419,19.698
"47",2020,"Baja California",2,26,"Female",31341,19.698
"48",2020,"Baja California",2,27,"Female",31198,19.698
"49",2020,"Baja California",2,28,"Female",30968,19.698
"50",2020,"Baja California",2,29,"Female",30643,19.698
"51",2020,"Baja California",2,30,"Female",30274,14.336
"52",2020,"Baja California",2,31,"Female",29882,14.336
"53",2020,"Baja California",2,32,"Female",29433,14.336
