"","year","state","CVE_GEO","deaths"
"1",1970,"Aguascalientes",1,3488
"2",1970,"Baja California",2,7339
"3",1970,"Baja California Sur",3,1498
"4",1970,"Campeche",4,2815
"5",1970,"Chiapas",7,20315
"6",1970,"Chihuahua",8,15367
"7",1970,"Coahuila",5,11182
"8",1970,"Colima",6,2497
"9",1970,"Durango",10,10138
"10",1970,"Guanajuato",11,25197
"11",1970,"Guerrero",12,18810
"12",1970,"Hidalgo",13,14293
"13",1970,"Jalisco",14,34473
"14",1970,"Mexico City",9,60217
"15",1970,"Michoacan",16,27709
"16",1970,"Morelos",17,6737
"17",1970,"National",0,524901
"18",1970,"Nayarit",18,6074
"19",1970,"Nuevo Leon",19,16017
"20",1970,"Oaxaca",20,26823
"21",1970,"Puebla",21,30691
"22",1970,"Queretaro",22,5591
"23",1970,"Quintana Roo",23,924
"24",1970,"San Luis Potosi",24,15137
"25",1970,"Sinaloa",25,14129
"26",1970,"Sonora",26,10665
"27",1970,"State of Mexico",15,38560
"28",1970,"Tabasco",27,8582
"29",1970,"Tamaulipas",28,15317
"30",1970,"Tlaxcala",29,5376
"31",1970,"Veracruz",30,48150
"32",1970,"Yucatan",31,9688
"33",1970,"Zacatecas",32,11102
"34",1971,"Aguascalientes",1,3283
"35",1971,"Baja California",2,6971
"36",1971,"Baja California Sur",3,1384
"37",1971,"Campeche",4,2721
"38",1971,"Chiapas",7,18479
"39",1971,"Chihuahua",8,14462
"40",1971,"Coahuila",5,10456
"41",1971,"Colima",6,2416
"42",1971,"Durango",10,9441
"43",1971,"Guanajuato",11,23674
"44",1971,"Guerrero",12,17828
"45",1971,"Hidalgo",13,13669
"46",1971,"Jalisco",14,32306
"47",1971,"Mexico City",9,54694
"48",1971,"Michoacan",16,25880
"49",1971,"Morelos",17,6573
"50",1971,"National",0,492387
"51",1971,"Nayarit",18,5774
"52",1971,"Nuevo Leon",19,15021
"53",1971,"Oaxaca",20,25274
"54",1971,"Puebla",21,29162
"55",1971,"Queretaro",22,5306
"56",1971,"Quintana Roo",23,940
"57",1971,"San Luis Potosi",24,14633
"58",1971,"Sinaloa",25,13176
"59",1971,"Sonora",26,10010
"60",1971,"State of Mexico",15,36000
"61",1971,"Tabasco",27,7870
"62",1971,"Tamaulipas",28,14480
"63",1971,"Tlaxcala",29,4977
"64",1971,"Veracruz",30,45815
"65",1971,"Yucatan",31,9372
"66",1971,"Zacatecas",32,10340
"67",1972,"Aguascalientes",1,3306
"68",1972,"Baja California",2,7033
"69",1972,"Baja California Sur",3,1394
"70",1972,"Campeche",4,2812
"71",1972,"Chiapas",7,18271
"72",1972,"Chihuahua",8,14474
"73",1972,"Coahuila",5,10391
"74",1972,"Colima",6,2478
"75",1972,"Durango",10,9445
"76",1972,"Guanajuato",11,23870
"77",1972,"Guerrero",12,18238
"78",1972,"Hidalgo",13,13945
"79",1972,"Jalisco",14,32263
"80",1972,"Mexico City",9,52784
"81",1972,"Michoacan",16,25918
"82",1972,"Morelos",17,6778
"83",1972,"National",0,494337
"84",1972,"Nayarit",18,5859
"85",1972,"Nuevo Leon",19,14961
"86",1972,"Oaxaca",20,25778
"87",1972,"Puebla",21,29561
"88",1972,"Queretaro",22,5390
"89",1972,"Quintana Roo",23,1004
"90",1972,"San Luis Potosi",24,15118
"91",1972,"Sinaloa",25,13191
"92",1972,"Sonora",26,10018
"93",1972,"State of Mexico",15,36346
"94",1972,"Tabasco",27,7861
"95",1972,"Tamaulipas",28,14569
"96",1972,"Tlaxcala",29,4937
"97",1972,"Veracruz",30,46360
"98",1972,"Yucatan",31,9608
"99",1972,"Zacatecas",32,10376
"100",1973,"Aguascalientes",1,3330
"101",1973,"Baja California",2,7093
"102",1973,"Baja California Sur",3,1403
"103",1973,"Campeche",4,2897
"104",1973,"Chiapas",7,18041
"105",1973,"Chihuahua",8,14449
"106",1973,"Coahuila",5,10348
"107",1973,"Colima",6,2521
"108",1973,"Durango",10,9437
"109",1973,"Guanajuato",11,24000
"110",1973,"Guerrero",12,18572
"111",1973,"Hidalgo",13,14108
"112",1973,"Jalisco",14,32163
"113",1973,"Mexico City",9,51494
"114",1973,"Michoacan",16,25839
