"","year","state","CVE_GEO","population","deaths","mort_rate"
"1",1970,"Aguascalientes",1,349169,3488,0.00998943205152806
"2",1970,"Baja California",2,893845,7339,0.00821059579681041
"3",1970,"Baja California Sur",3,131309,1498,0.0114082050735289
"4",1970,"Campeche",4,262217,2815,0.010735383289413
"5",1970,"Chiapas",7,1653388,20315,0.0122868921269539
"6",1970,"Chihuahua",8,1660938,15367,0.00925200097776076
"7",1970,"Coahuila",5,1151243,11182,0.00971297979661983
"8",1970,"Colima",6,248754,2497,0.0100380295392235
"9",1970,"Durango",10,970439,10138,0.0104468183986835
"10",1970,"Guanajuato",11,2353850,25197,0.0107045903519765
"11",1970,"Guerrero",12,1678152,18810,0.0112087582054546
"12",1970,"Hidalgo",13,1244602,14293,0.0114839924730958
"13",1970,"Jalisco",14,3411628,34473,0.0101045600516821
"14",1970,"Mexico City",9,7107118,60217,0.00847277335201132
"15",1970,"Michoacan",16,2424175,27709,0.0114302804046738
"16",1970,"Morelos",17,637366,6737,0.0105700649234506
"17",1970,"National",0,50004364,524901,0.0104971038127792
"18",1970,"Nayarit",18,562001,6074,0.0108078099505161
"19",1970,"Nuevo Leon",19,1737792,16017,0.0092168683018451
"20",1970,"Oaxaca",20,2126383,26823,0.0126143785009568
"21",1970,"Puebla",21,2627593,30691,0.0116802716402426
"22",1970,"Queretaro",22,503235,5591,0.0111101175395193
"23",1970,"Quintana Roo",23,90319,924,0.0102304055625062
"24",1970,"San Luis Potosi",24,1332736,15137,0.0113578383115636
"25",1970,"Sinaloa",25,1300943,14129,0.0108605834383213
"26",1970,"Sonora",26,1133817,10665,0.00940627984939369
"27",1970,"State of Mexico",15,3944919,38560,0.00977459866729836
"28",1970,"Tabasco",27,795667,8582,0.0107859192350569
"29",1970,"Tamaulipas",28,1500504,15317,0.0102079034777648
"30",1970,"Tlaxcala",29,435765,5376,0.0123369247185983
"31",1970,"Veracruz",30,3958893,48150,0.0121624908781318
"32",1970,"Yucatan",31,793797,9688,0.0122046316627551
"33",1970,"Zacatecas",32,981807,11102,0.0113077213749749
"34",1971,"Aguascalientes",1,363714,3283,0.00902632288006511
"35",1971,"Baja California",2,919319,6971,0.00758278682372495
"36",1971,"Baja California Sur",3,138031,1384,0.0100267331251675
"37",1971,"Campeche",4,275659,2721,0.00987089120979181
"38",1971,"Chiapas",7,1697161,18479,0.0108881832660543
"39",1971,"Chihuahua",8,1696115,14462,0.00852654448548595
"40",1971,"Coahuila",5,1187485,10456,0.00880516385470132
"41",1971,"Colima",6,257442,2416,0.00938463809324042
"42",1971,"Durango",10,992265,9441,0.00951459539538329
"43",1971,"Guanajuato",11,2416825,23674,0.00979549615714832
"44",1971,"Guerrero",12,1722537,17828,0.0103498502499511
"45",1971,"Hidalgo",13,1274839,13669,0.0107221382464766
"46",1971,"Jalisco",14,3504344,32306,0.00921884381213716
"47",1971,"Mexico City",9,7271381,54694,0.0075218173824202
"48",1971,"Michoacan",16,2474205,25880,0.0104599255114269
"49",1971,"Morelos",17,663791,6573,0.00990221319662364
"50",1971,"National",0,51549944,492387,0.00955164956144278
"51",1971,"Nayarit",18,577568,5774,0.00999709125159289
"52",1971,"Nuevo Leon",19,1802917,15021,0.00833149834407241
"53",1971,"Oaxaca",20,2159926,25274,0.0117013268047146
"54",1971,"Puebla",21,2699192,29162,0.0108039739299761
"55",1971,"Queretaro",22,523764,5306,0.0101305167976417
"56",1971,"Quintana Roo",23,100625,940,0.0093416149068323
"57",1971,"San Luis Potosi",24,1366575,14633,0.0107077913762508
"58",1971,"Sinaloa",25,1348458,13176,0.00977116083704498
"59",1971,"Sonora",26,1167848,10010,0.0085713209253259
"60",1971,"State of Mexico",15,4233877,36000,0.00850284502832746
"61",1971,"Tabasco",27,820228,7870,0.00959489312727681
"62",1971,"Tamaulipas",28,1539837,14480,0.00940359271793054
"63",1971,"Tlaxcala",29,447378,4977,0.0111248206214879
"64",1971,"Veracruz",30,4088413,45815,0.0112060596617807
"65",1971,"Yucatan",31,818638,9372,0.0114482836125369
"66",1971,"Zacatecas",32,999587,10340,0.0103442721844122
"67",1972,"Aguascalientes",1,378930,3306,0.0087245665426332
"68",1972,"Baja California",2,945758,7033,0.00743636321342246
"69",1972,"Baja California Sur",3,145123,1394,0.00960564486676819
"70",1972,"Campeche",4,289747,2812,0.00970501851615375
"71",1972,"Chiapas",7,1742431,18271,0.0104859245502404
"72",1972,"Chihuahua",8,1732316,14474,0.00835528852703548
"73",1972,"Coahuila",5,1225127,10391,0.00848156966583873
"74",1972,"Colima",6,266508,2478,0.00929803232923589
"75",1972,"Durango",10,1014751,9445,0.00930770208652172
"76",1972,"Guanajuato",11,2481961,23870,0.00961739527736334
"77",1972,"Guerrero",12,1768402,18238,0.0103132658750669
"78",1972,"Hidalgo",13,1306039,13945,0.0106773228058274
"79",1972,"Jalisco",14,3600217,32263,0.00896140427090923
"80",1972,"Mexico City",9,7440903,52784,0.00709376267907269
"81",1972,"Michoacan",16,2525529,25918,0.0102624044309133
"82",1972,"Morelos",17,691405,6778,0.00980322676289584
"83",1972,"National",0,53155294,494337,0.00929986390443067
"84",1972,"Nayarit",18,593697,5859,0.00986867038236676
"85",1972,"Nuevo Leon",19,1870943,14961,0.0079965022985735
"86",1972,"Oaxaca",20,2193984,25778,0.0117494020011085
"87",1972,"Puebla",21,2773256,29561,0.0106593116538827
"88",1972,"Queretaro",22,545146,5390,0.00988725955982434
"89",1972,"Quintana Roo",23,111561,1004,0.00899956077840823
"90",1972,"San Luis Potosi",24,1401524,15118,0.0107868291945054
"91",1972,"Sinaloa",25,1397942,13191,0.00943601379742507
"92",1972,"Sonora",26,1203198,10018,0.0083261441591492
"93",1972,"State of Mexico",15,4537969,36346,0.00800930989171588
"94",1972,"Tabasco",27,845762,7861,0.00929457696136738
"95",1972,"Tamaulipas",28,1580545,14569,0.00921770655058856
"96",1972,"Tlaxcala",29,459353,4937,0.0107477256053623
"97",1972,"Veracruz",30,4223085,46360,0.0109777567820681
"98",1972,"Yucatan",31,844479,9608,0.0113774291604646
"99",1972,"Zacatecas",32,1017703,10376,0.0101955089058399
"100",1973,"Aguascalientes",1,394557,3330,0.00843984519347015
"101",1973,"Baja California",2,972626,7093,0.00729262841009802
"102",1973,"Baja California Sur",3,152469,1403,0.00920187054417619
"103",1973,"Campeche",4,304298,2897,0.00952027289039034
"104",1973,"Chiapas",7,1788095,18041,0.0100895086670451
"105",1973,"Chihuahua",8,1768455,14449,0.00817040863352474
"106",1973,"Coahuila",5,1263524,10348,0.00818979299166458
"107",1973,"Colima",6,275759,2521,0.00914204069495465
"108",1973,"Durango",10,1037222,9437,0.00909834153151399
"109",1973,"Guanajuato",11,2547714,24000,0.00942020964676569
"110",1973,"Guerrero",12,1814689,18572,0.0102342605261838
"111",1973,"Hidalgo",13,1337356,14108,0.0105491731446227
"112",1973,"Jalisco",14,3697168,32163,0.00869936124082
"113",1973,"Mexico City",9,7611633,51494,0.00676517115315465
"114",1973,"Michoacan",16,2576522,25839,0.0100286355016569
"115",1973,"Morelos",17,719823,6945,0.00964820518377434
"116",1973,"National",0,54789308,495686,0.00904713014444351
"117",1973,"Nayarit",18,610000,5904,0.00967868852459016
"118",1973,"Nuevo Leon",19,1940768,14942,0.007699013998582
"119",1973,"Oaxaca",20,2227194,26085,0.0117120466380567
"120",1973,"Puebla",21,2848094,29767,0.0104515511075126
"121",1973,"Queretaro",22,567147,5454,0.00961655443826733
"122",1973,"Quintana Roo",23,122982,1076,0.00874924785741003
"123",1973,"San Luis Potosi",24,1436714,15532,0.0108107807120972
"124",1973,"Sinaloa",25,1448644,13219,0.00912508525213924
"125",1973,"Sonora",26,1239161,10021,0.00808692332957541
"126",1973,"State of Mexico",15,4854995,36928,0.00760618703005873
"127",1973,"Tabasco",27,871686,7865,0.00902274442861306
"128",1973,"Tamaulipas",28,1621710,14653,0.0090355242305961
"129",1973,"Tlaxcala",29,471478,4889,0.0103695188322679
"130",1973,"Veracruz",30,4360529,46559,0.0106773742360159
"131",1973,"Yucatan",31,870769,9795,0.0112486778927592
"132",1973,"Zacatecas",32,1035527,10357,0.0100016706469266
"133",1974,"Aguascalientes",1,410605,3281,0.00799064794632311
"134",1974,"Baja California",2,999819,6988,0.00698926505697531
"135",1974,"Baja California Sur",3,160045,1387,0.00866631259958137
"136",1974,"Campeche",4,319341,2879,0.00901544117416805
"137",1974,"Chiapas",7,1833975,17171,0.00936272304693357
"138",1974,"Chihuahua",8,1804463,14080,0.0078028754260963
"139",1974,"Coahuila",5,1302516,10087,0.00774424268108799
"140",1974,"Colima",6,285206,2500,0.00876559399171126
"141",1974,"Durango",10,1059595,9173,0.00865708124330523
"142",1974,"Guanajuato",11,2613895,23461,0.00897549442498647
"143",1974,"Guerrero",12,1861145,18318,0.00984232824417227
"144",1974,"Hidalgo",13,1368681,13839,0.0101111946465246
"145",1974,"Jalisco",14,3794832,31342,0.00825912714976579
"146",1974,"Mexico City",9,7782839,49883,0.00640935781917113
"147",1974,"Michoacan",16,2626931,25082,0.00954802391079172
"148",1974,"Morelos",17,748988,6983,0.00932324683439521
"149",1974,"National",0,56447379,484999,0.00859205526619757
"150",1974,"Nayarit",18,626433,5778,0.00922365201066994
"151",1974,"Nuevo Leon",19,2012351,14704,0.00730687638488514
"152",1974,"Oaxaca",20,2259269,25463,0.0112704596044119
"153",1974,"Puebla",21,2923485,29134,0.00996550350010347
"154",1974,"Queretaro",22,589677,5344,0.00906258850184084
"155",1974,"Quintana Roo",23,134928,1103,0.00817473022649117
"156",1974,"San Luis Potosi",24,1471999,15349,0.0104273168663837
"157",1974,"Sinaloa",25,1500399,12952,0.00863237045612534
"158",1974,"Sonora",26,1275619,9826,0.00770292697114107
"159",1974,"State of Mexico",15,5184833,36747,0.00708740281509549
"160",1974,"Tabasco",27,897927,7635,0.00850291838868861
"161",1974,"Tamaulipas",28,1663228,14385,0.00864884429555058
"162",1974,"Tlaxcala",29,483666,4760,0.00984150219366257
"163",1974,"Veracruz",30,4500299,45630,0.0101393262980971
"164",1974,"Yucatan",31,897492,9715,0.0108246090215846
"165",1974,"Zacatecas",32,1052898,10020,0.00951659135072913
"166",1975,"Aguascalientes",1,427082,3270,0.0076566092694143
"167",1975,"Baja California",2,1027493,6977,0.00679031389994871
"168",1975,"Baja California Sur",3,167888,1401,0.00834484894691699
"169",1975,"Campeche",4,334863,2904,0.00867220325924333
"170",1975,"Chiapas",7,1880147,16645,0.00885303117256257
"171",1975,"Chihuahua",8,1840482,13899,0.00755182609772875
"172",1975,"Coahuila",5,1342339,10019,0.00746383737640045
"173",1975,"Colima",6,294853,2490,0.00844488609578332
"174",1975,"Durango",10,1081973,9034,0.0083495614031034
"175",1975,"Guanajuato",11,2680771,23251,0.00867325109082424
"176",1975,"Guerrero",12,1907976,18357,0.00962119020365036
"177",1975,"Hidalgo",13,1400181,13819,0.00986943830833299
"178",1975,"Jalisco",14,3893674,31022,0.00796728231485224
"179",1975,"Mexico City",9,7955976,49416,0.0062111801242236
"180",1975,"Michoacan",16,2677042,24876,0.00929234580555703
"181",1975,"Morelos",17,779010,7031,0.00902555808012734
"182",1975,"National",0,58137006,482874,0.00830579407546374
"183",1975,"Nayarit",18,643078,5721,0.00889627696795723
"184",1975,"Nuevo Leon",19,2085965,14696,0.00704518052795709
"185",1975,"Oaxaca",20,2290454,25313,0.0110515207902014
"186",1975,"Puebla",21,2999715,29094,0.00969892139753277
"187",1975,"Queretaro",22,612803,5312,0.00866836487419285
"188",1975,"Quintana Roo",23,147442,1136,0.00770472456966129
"189",1975,"San Luis Potosi",24,1507569,15234,0.0101050101189398
"190",1975,"Sinaloa",25,1553437,12915,0.00831382283285386
"191",1975,"Sonora",26,1312759,9774,0.007445387919641
"192",1975,"State of Mexico",15,5528298,37396,0.006764468919729
"193",1975,"Tabasco",27,924549,7552,0.00816830692586331
"194",1975,"Tamaulipas",28,1705344,14301,0.00838599133078136
"195",1975,"Tlaxcala",29,495988,4695,0.00946595482148762
"196",1975,"Veracruz",30,4643092,45750,0.00985334772604118
"197",1975,"Yucatan",31,924766,9744,0.0105367195593264
"198",1975,"Zacatecas",32,1069997,9830,0.00918694164563078
"199",1976,"Aguascalientes",1,443929,3294,0.00742010546731572
"200",1976,"Baja California",2,1055496,7025,0.00665563867603477
"201",1976,"Baja California Sur",3,175980,1409,0.00800659165814297
"202",1976,"Campeche",4,350841,2929,0.00834851114892501
"203",1976,"Chiapas",7,1926342,16324,0.00847409234704949
"204",1976,"Chihuahua",8,1876200,13808,0.00735955655047436
"205",1976,"Coahuila",5,1382702,10026,0.00725102010411499
"206",1976,"Colima",6,304678,2476,0.0081266123579648
"207",1976,"Durango",10,1104123,8975,0.00812862335084044
"208",1976,"Guanajuato",11,2747768,23213,0.00844794757053725
"209",1976,"Guerrero",12,1954758,18589,0.00950961704722528
"210",1976,"Hidalgo",13,1431517,13821,0.00965479278276122
"211",1976,"Jalisco",14,3992791,30946,0.00775046828146026
"212",1976,"Mexico City",9,8129180,49531,0.00609298846870164
"213",1976,"Michoacan",16,2726204,24737,0.00907378904880192
"214",1976,"Morelos",17,809800,7093,0.00875895282785873
"215",1976,"National",0,59846217,483874,0.00808528966835113
"216",1976,"Nayarit",18,659783,5698,0.00863617280226984
"217",1976,"Nuevo Leon",19,2161267,14825,0.00685940237832716
"218",1976,"Oaxaca",20,2320176,25170,0.0108483149554172
"219",1976,"Puebla",21,3076095,29162,0.00948020135919079
"220",1976,"Queretaro",22,636403,5308,0.00834062692979134
"221",1976,"Quintana Roo",23,160487,1178,0.00734015839289164
"222",1976,"San Luis Potosi",24,1543056,15112,0.00979355253471034
"223",1976,"Sinaloa",25,1607424,13016,0.00809742793438446
"224",1976,"Sonora",26,1350325,9805,0.00726121489271101
"225",1976,"State of Mexico",15,5884534,38554,0.00655175074185993
"226",1976,"Tabasco",27,951418,7557,0.00794288104702665
"227",1976,"Tamaulipas",28,1747677,14302,0.0081834343531442
"228",1976,"Tlaxcala",29,508344,4670,0.00918669247596116
"229",1976,"Veracruz",30,4787955,45786,0.0095627465170412
"230",1976,"Yucatan",31,952440,9821,0.0103114106925371
"231",1976,"Zacatecas",32,1086524,9714,0.0089404375789214
"232",1977,"Aguascalientes",1,461031,3277,0.00710798189275775
"233",1977,"Baja California",2,1083518,7013,0.00647243516028345
"234",1977,"Baja California Sur",3,184282,1405,0.00762418467348954
"235",1977,"Campeche",4,367143,2931,0.00798326537616133
"236",1977,"Chiapas",7,1971816,15816,0.00802103238841758
"237",1977,"Chihuahua",8,1911037,13598,0.00711550849093974
"238",1977,"Coahuila",5,1423164,9941,0.00698514015250526
"239",1977,"Colima",6,314573,2444,0.00776926182475928
"240",1977,"Durango",10,1125710,8800,0.00781728864449992
"241",1977,"Guanajuato",11,2813930,22900,0.00813808445839093
"242",1977,"Guerrero",12,2000817,18485,0.00923872598043699
"243",1977,"Hidalgo",13,1462203,13589,0.00929351122928896
"244",1977,"Jalisco",14,4090914,30558,0.00746972436966409
"245",1977,"Mexico City",9,8300336,49519,0.00596590306705656
"246",1977,"Michoacan",16,2773498,24220,0.00873265457555765
"247",1977,"Morelos",17,841073,7032,0.00836074871027842
"248",1977,"National",0,61556144,479017,0.0077817902303952
"249",1977,"Nayarit",18,676321,5592,0.00826826314723334
"250",1977,"Nuevo Leon",19,2237593,14840,0.00663212657529765
"251",1977,"Oaxaca",20,2347644,24540,0.010453032912997
"252",1977,"Puebla",21,3151541,28722,0.00911363678911364
"253",1977,"Queretaro",22,660249,5244,0.00794245807263623
"254",1977,"Quintana Roo",23,174014,1205,0.00692473019412231
"255",1977,"San Luis Potosi",24,1577929,14719,0.00932804961439963
"256",1977,"Sinaloa",25,1661893,12971,0.00780495495197344
"257",1977,"Sonora",26,1387933,9738,0.00701618882179471
"258",1977,"State of Mexico",15,6251901,39435,0.00630768145560846
"259",1977,"Tabasco",27,978210,7485,0.00765173122335695
"260",1977,"Tamaulipas",28,1789724,14139,0.00790010079766489
"261",1977,"Tlaxcala",29,520557,4602,0.00884053043182591
"262",1977,"Veracruz",30,4933380,45019,0.00912538665174789
"263",1977,"Yucatan",31,980145,9764,0.00996179136760377
"264",1977,"Zacatecas",32,1102065,9474,0.00859658913040519
"265",1978,"Aguascalientes",1,478356,3229,0.00675020277784746
"266",1978,"Baja California",2,1111635,6941,0.0062439559747579
"267",1978,"Baja California Sur",3,192760,1386,0.00719028844158539
"268",1978,"Campeche",4,383772,2882,0.00750966719823228
"269",1978,"Chiapas",7,2016682,15219,0.00754655419148879
"270",1978,"Chihuahua",8,1945051,13286,0.00683066922152684
"271",1978,"Coahuila",5,1463793,9807,0.00669971778796592
"272",1978,"Colima",6,324533,2380,0.00733361476336767
"273",1978,"Durango",10,1146694,8553,0.00745883383012382
"274",1978,"Guanajuato",11,2879415,22400,0.00777935795986338
"275",1978,"Guerrero",12,2046217,18131,0.00886074155380392
"276",1978,"Hidalgo",13,1492326,13207,0.00884994297492639
"277",1978,"Jalisco",14,4188238,29942,0.00714906841492771
"278",1978,"Mexico City",9,8469848,49365,0.00582832183056886
"279",1978,"Michoacan",16,2819085,23443,0.0083158187851732
"280",1978,"Morelos",17,872911,6895,0.00789885795917339
"281",1978,"National",0,63269599,470092,0.0074299822889663
"282",1978,"Nayarit",18,692716,5447,0.00786325131800045
"283",1978,"Nuevo Leon",19,2315041,14753,0.00637267331334521
"284",1978,"Oaxaca",20,2373029,23623,0.00995478774174273
"285",1978,"Puebla",21,3226229,27972,0.00867018429255952
"286",1978,"Queretaro",22,684400,5134,0.00750146113383986
"287",1978,"Quintana Roo",23,188048,1216,0.00646643410193142
"288",1978,"San Luis Potosi",24,1612260,14194,0.00880379095183159
"289",1978,"Sinaloa",25,1716855,12827,0.00747121917692525
"290",1978,"Sonora",26,1425617,9607,0.00673883658794753
"291",1978,"State of Mexico",15,6630621,40054,0.00604076149126907
"292",1978,"Tabasco",27,1004945,7341,0.00730487738134923
"293",1978,"Tamaulipas",28,1831569,13872,0.00757383423720318
"294",1978,"Tlaxcala",29,532614,4512,0.00847142583559576
"295",1978,"Veracruz",30,5079638,43723,0.00860750313309728
"296",1978,"Yucatan",31,1007978,9619,0.00954286700701801
"297",1978,"Zacatecas",32,1116723,9132,0.0081774979112994
"298",1979,"Aguascalientes",1,495940,3241,0.00653506472557164
"299",1979,"Baja California",2,1139895,6969,0.00611372100061848
"300",1979,"Baja California Sur",3,201441,1380,0.00685064113065364
"301",1979,"Campeche",4,400771,2888,0.00720611022254604
