"","year","state","CVE_GEO","population"
"1",1970,"Aguascalientes",1,349169
"2",1970,"Baja California",2,893845
"3",1970,"Baja California Sur",3,131309
"4",1970,"Campeche",4,262217
"5",1970,"Chiapas",7,1653388
"6",1970,"Chihuahua",8,1660938
"7",1970,"Coahuila",5,1151243
"8",1970,"Colima",6,248754
"9",1970,"Durango",10,970439
"10",1970,"Guanajuato",11,2353850
"11",1970,"Guerrero",12,1678152
"12",1970,"Hidalgo",13,1244602
"13",1970,"Jalisco",14,3411628
"14",1970,"Mexico City",9,7107118
"15",1970,"Michoacan",16,2424175
"16",1970,"Morelos",17,637366
"17",1970,"National",0,50004364
"18",1970,"Nayarit",18,562001
"19",1970,"Nuevo Leon",19,1737792
"20",1970,"Oaxaca",20,2126383
"21",1970,"Puebla",21,2627593
"22",1970,"Queretaro",22,503235
"23",1970,"Quintana Roo",23,90319
"24",1970,"San Luis Potosi",24,1332736
"25",1970,"Sinaloa",25,1300943
"26",1970,"Sonora",26,1133817
"27",1970,"State of Mexico",15,3944919
"28",1970,"Tabasco",27,795667
"29",1970,"Tamaulipas",28,1500504
"30",1970,"Tlaxcala",29,435765
"31",1970,"Veracruz",30,3958893
"32",1970,"Yucatan",31,793797
"33",1970,"Zacatecas",32,981807
"34",1971,"Aguascalientes",1,363714
"35",1971,"Baja California",2,919319
"36",1971,"Baja California Sur",3,138031
"37",1971,"Campeche",4,275659
"38",1971,"Chiapas",7,1697161
"39",1971,"Chihuahua",8,1696115
"40",1971,"Coahuila",5,1187485
"41",1971,"Colima",6,257442
"42",1971,"Durango",10,992265
"43",1971,"Guanajuato",11,2416825
"44",1971,"Guerrero",12,1722537
"45",1971,"Hidalgo",13,1274839
"46",1971,"Jalisco",14,3504344
"47",1971,"Mexico City",9,7271381
"48",1971,"Michoacan",16,2474205
"49",1971,"Morelos",17,663791
"50",1971,"National",0,51549944
"51",1971,"Nayarit",18,577568
"52",1971,"Nuevo Leon",19,1802917
"53",1971,"Oaxaca",20,2159926
"54",1971,"Puebla",21,2699192
"55",1971,"Queretaro",22,523764
"56",1971,"Quintana Roo",23,100625
"57",1971,"San Luis Potosi",24,1366575
"58",1971,"Sinaloa",25,1348458
"59",1971,"Sonora",26,1167848
"60",1971,"State of Mexico",15,4233877
"61",1971,"Tabasco",27,820228
"62",1971,"Tamaulipas",28,1539837
"63",1971,"Tlaxcala",29,447378
"64",1971,"Veracruz",30,4088413
"65",1971,"Yucatan",31,818638
"66",1971,"Zacatecas",32,999587
"67",1972,"Aguascalientes",1,378930
"68",1972,"Baja California",2,945758
"69",1972,"Baja California Sur",3,145123
"70",1972,"Campeche",4,289747
"71",1972,"Chiapas",7,1742431
"72",1972,"Chihuahua",8,1732316
"73",1972,"Coahuila",5,1225127
"74",1972,"Colima",6,266508
"75",1972,"Durango",10,1014751
"76",1972,"Guanajuato",11,2481961
"77",1972,"Guerrero",12,1768402
"78",1972,"Hidalgo",13,1306039
"79",1972,"Jalisco",14,3600217
"80",1972,"Mexico City",9,7440903
"81",1972,"Michoacan",16,2525529
"82",1972,"Morelos",17,691405
"83",1972,"National",0,53155294
"84",1972,"Nayarit",18,593697
"85",1972,"Nuevo Leon",19,1870943
"86",1972,"Oaxaca",20,2193984
"87",1972,"Puebla",21,2773256
"88",1972,"Queretaro",22,545146
"89",1972,"Quintana Roo",23,111561
"90",1972,"San Luis Potosi",24,1401524
"91",1972,"Sinaloa",25,1397942
"92",1972,"Sonora",26,1203198
"93",1972,"State of Mexico",15,4537969
"94",1972,"Tabasco",27,845762
"95",1972,"Tamaulipas",28,1580545
"96",1972,"Tlaxcala",29,459353
"97",1972,"Veracruz",30,4223085
"98",1972,"Yucatan",31,844479
"99",1972,"Zacatecas",32,1017703
"100",1973,"Aguascalientes",1,394557
"101",1973,"Baja California",2,972626
"102",1973,"Baja California Sur",3,152469
"103",1973,"Campeche",4,304298
"104",1973,"Chiapas",7,1788095
"105",1973,"Chihuahua",8,1768455
"106",1973,"Coahuila",5,1263524
"107",1973,"Colima",6,275759
"108",1973,"Durango",10,1037222
"109",1973,"Guanajuato",11,2547714
"110",1973,"Guerrero",12,1814689
"111",1973,"Hidalgo",13,1337356
"112",1973,"Jalisco",14,3697168
"113",1973,"Mexico City",9,7611633
"114",1973,"Michoacan",16,2576522
"115",1973,"Morelos",17,719823
"116",1973,"National",0,54789308
"117",1973,"Nayarit",18,610000
"118",1973,"Nuevo Leon",19,1940768
"119",1973,"Oaxaca",20,2227194
"120",1973,"Puebla",21,2848094
"121",1973,"Queretaro",22,567147
"122",1973,"Quintana Roo",23,122982
"123",1973,"San Luis Potosi",24,1436714
"124",1973,"Sinaloa",25,1448644
"125",1973,"Sonora",26,1239161
"126",1973,"State of Mexico",15,4854995
"127",1973,"Tabasco",27,871686
"128",1973,"Tamaulipas",28,1621710
"129",1973,"Tlaxcala",29,471478
"130",1973,"Veracruz",30,4360529
"131",1973,"Yucatan",31,870769
"132",1973,"Zacatecas",32,1035527
"133",1974,"Aguascalientes",1,410605
"134",1974,"Baja California",2,999819
"135",1974,"Baja California Sur",3,160045
"136",1974,"Campeche",4,319341
"137",1974,"Chiapas",7,1833975
"138",1974,"Chihuahua",8,1804463
"139",1974,"Coahuila",5,1302516
"140",1974,"Colima",6,285206
"141",1974,"Durango",10,1059595
"142",1974,"Guanajuato",11,2613895
"143",1974,"Guerrero",12,1861145
"144",1974,"Hidalgo",13,1368681
"145",1974,"Jalisco",14,3794832
"146",1974,"Mexico City",9,7782839
"147",1974,"Michoacan",16,2626931
"148",1974,"Morelos",17,748988
"149",1974,"National",0,56447379
"150",1974,"Nayarit",18,626433
"151",1974,"Nuevo Leon",19,2012351
"152",1974,"Oaxaca",20,2259269
"153",1974,"Puebla",21,2923485
"154",1974,"Queretaro",22,589677
"155",1974,"Quintana Roo",23,134928
"156",1974,"San Luis Potosi",24,1471999
"157",1974,"Sinaloa",25,1500399
"158",1974,"Sonora",26,1275619
"159",1974,"State of Mexico",15,5184833
"160",1974,"Tabasco",27,897927
"161",1974,"Tamaulipas",28,1663228
"162",1974,"Tlaxcala",29,483666
"163",1974,"Veracruz",30,4500299
"164",1974,"Yucatan",31,897492
"165",1974,"Zacatecas",32,1052898
"166",1975,"Aguascalientes",1,427082
"167",1975,"Baja California",2,1027493
"168",1975,"Baja California Sur",3,167888
"169",1975,"Campeche",4,334863
"170",1975,"Chiapas",7,1880147
"171",1975,"Chihuahua",8,1840482
"172",1975,"Coahuila",5,1342339
"173",1975,"Colima",6,294853
"174",1975,"Durango",10,1081973
"175",1975,"Guanajuato",11,2680771
"176",1975,"Guerrero",12,1907976
"177",1975,"Hidalgo",13,1400181
"178",1975,"Jalisco",14,3893674
"179",1975,"Mexico City",9,7955976
"180",1975,"Michoacan",16,2677042
"181",1975,"Morelos",17,779010
"182",1975,"National",0,58137006
"183",1975,"Nayarit",18,643078
"184",1975,"Nuevo Leon",19,2085965
